name_long,pop_est,gdp_md_est,lastcensus,Longitude,Latitude
Angola,12799293,110300,1970,17.53736768,-12.29336054
Burundi,8988091,3102,2008,29.87512156,-3.35939666
Benin,8791832,12830,2002,2.32785254,9.6417597
Burkina Faso,15746232,17820,2006,-1.75456601,12.26953846
Botswana,1990876,27060,2011,23.79853368,-22.18403213
Bioko,334463,,2015,8.749618,3.616311
Central African Republic,4511488,3198,2003,20.46826831,6.56823297
Cote d'Ivoire,20617068,33850,1998,-5.5692157,7.6284262
Cameroon,18879301,42750,2005,12.73964156,5.69109849
Democratic Republic of Congo,68692542,20640,1984,23.64396107,-2.87746289
Republic of Congo,4012809,15350,2007,15.21965762,-0.83787463
Comoros,752438,751.2,2003,43.68253968,-11.87783444
Cape Verde,429474,1626,2010,-23.9598882,15.95523324
Djibouti,516055,1885,2009,42.5606754,11.74871806
Algeria,34178188,232900,2008,2.61732301,28.15893849
Egypt,83082869,443700,2006,29.86190099,26.49593311
Eritrea,5647168,3945,1984,38.84617011,15.36186618
Ethiopia,85237338,68770,2007,39.60080098,8.62278679
Gabon,1514993,21110,2003,11.7886287,-0.58660025
Ghana,23832495,34200,2010,-1.21676566,6.85345644
Guinea,10057975,10600,1996,-10.94066612,10.43621593
The Gambia,1782893,2272,2003,-15.39601295,13.44965244
Guinea-Bissau,1533964,904.2,2009,-14.94972445,12.04744948
Equatorial Guinea,650702,14060,2002,10.34137924,1.70555135
Kenya,39002772,61510,2009,37.79593973,0.59988022
Liberia,3441790,1526,2008,-9.32207573,6.45278492
Libya,6310434,88830,2006,18.00866169,27.03094495
Lesotho,2130819,3293,2006,28.22723131,-29.58003188
Morocco,34859364,136600,2004,-8.45615795,29.83762955
Madagascar,20653556,20130,1993,46.70473674,-19.37189587
Mali,12666987,14590,2009,-3.54269065,17.34581581
Mayotte,270372,3550,2019,45.156544,-12.796385
Mozambique,21669278,18940,2007,35.53367543,-17.27381643
Mauritania,3129486,6308,2000,-10.34779815,20.25736706
Malawi,14268711,11810,2008,34.28935599,-13.21808088
Namibia,2108665,13250,2001,17.20963567,-22.13032568
Niger,15306252,10040,2001,9.38545882,17.41912493
Nigeria,149229090,335400,2006,8.08943895,9.59411452
Rwanda,10473282,9706,2002,29.91988515,-1.99033832
Western Sahara,-99,-99,-99,-12.21982755,24.22956739
Sudan,25946220,88080,2008,29.94046812,15.99035669
South Sudan,10625176,13227,2008,30.24790002,7.30877945
Senegal,13711597,21980,2002,-14.4734924,14.36624173
Sierra Leone,6440053,4285,2004,-11.79271247,8.56329593
Somaliland,3500000,12250,-99,46.25198395,9.73345496
Somalia,9832017,5524,1987,45.70714487,4.75062876
SaoTome and Principe,212679,276.5,2001,6.72429658,0.44391445
Swaziland,1123913,5702,2007,31.4819369,-26.55843045
Chad,10329208,15860,2009,18.64492513,15.33333758
Togo,6019877,5118,2010,0.96232845,8.52531356
Tunisia,10486339,81710,2004,9.55288359,34.11956246
Tanzania,41048532,54250,2002,34.81309981,-6.27565408
Uganda,32369558,39380,2002,32.36907971,1.27469299
South Africa,49052489,491000,2001,25.08390093,-29.00034095
Zambia,11862740,17500,2010,27.77475946,-13.45824152
Zimbabwe,12619600,9323,2002,29.8514412,-19.00420419
