sample_id,sampling_group
AR0047-C,ANG_1_coluzzii_2009
AR0049-C,ANG_1_coluzzii_2009
AR0051-C,ANG_1_coluzzii_2009
AR0061-C,ANG_1_coluzzii_2009
AR0078-C,ANG_1_coluzzii_2009
AR0080-C,ANG_1_coluzzii_2009
AR0084-C,ANG_1_coluzzii_2009
AR0097-C,ANG_1_coluzzii_2009
AR0072-C,ANG_1_coluzzii_2009
AR0094-C,ANG_1_coluzzii_2009
AR0095-C,ANG_1_coluzzii_2009
AR0083-C,ANG_1_coluzzii_2009
AR0093-C,ANG_1_coluzzii_2009
AR0021-C,ANG_1_coluzzii_2009
AR0082-C,ANG_1_coluzzii_2009
AR0008-C,ANG_1_coluzzii_2009
AR0085-C,ANG_1_coluzzii_2009
AR0098-C,ANG_1_coluzzii_2009
AR0092-C,ANG_1_coluzzii_2009
AR0017-C,ANG_1_coluzzii_2009
AR0015-C,ANG_1_coluzzii_2009
AR0019-C,ANG_1_coluzzii_2009
AR0100-C,ANG_1_coluzzii_2009
AR0034-C,ANG_1_coluzzii_2009
AR0086-C,ANG_1_coluzzii_2009
AR0057-C,ANG_1_coluzzii_2009
AR0076-C,ANG_1_coluzzii_2009
AR0042-C,ANG_1_coluzzii_2009
AR0063-C,ANG_1_coluzzii_2009
AR0012-C,ANG_1_coluzzii_2009
AR0087-C,ANG_1_coluzzii_2009
AR0065-C,ANG_1_coluzzii_2009
AR0038-C,ANG_1_coluzzii_2009
AR0089-C,ANG_1_coluzzii_2009
AR0071-C,ANG_1_coluzzii_2009
AR0096-C,ANG_1_coluzzii_2009
AR0088-C,ANG_1_coluzzii_2009
AR0066-C,ANG_1_coluzzii_2009
AR0023-C,ANG_1_coluzzii_2009
AR0020-C,ANG_1_coluzzii_2009
AR0024-C,ANG_1_coluzzii_2009
AR0014-C,ANG_1_coluzzii_2009
AR0079-C,ANG_1_coluzzii_2009
AR0027-C,ANG_1_coluzzii_2009
AR0075-C,ANG_1_coluzzii_2009
AR0077-C,ANG_1_coluzzii_2009
AR0007-C,ANG_1_coluzzii_2009
AR0062-C,ANG_1_coluzzii_2009
AR0060-C,ANG_1_coluzzii_2009
AR0022-C,ANG_1_coluzzii_2009
AR0002-C,ANG_1_coluzzii_2009
AR0059-C,ANG_1_coluzzii_2009
AR0048-C,ANG_1_coluzzii_2009
AR0011-C,ANG_1_coluzzii_2009
AR0009-C,ANG_1_coluzzii_2009
AR0043-C,ANG_1_coluzzii_2009
AR0035-C,ANG_1_coluzzii_2009
AR0074-C,ANG_1_coluzzii_2009
AR0045-C,ANG_1_coluzzii_2009
AR0073-C,ANG_1_coluzzii_2009
AR0004-C,ANG_1_coluzzii_2009
AR0040-C,ANG_1_coluzzii_2009
AR0052-C,ANG_1_coluzzii_2009
AR0064-C,ANG_1_coluzzii_2009
AR0044-C,ANG_1_coluzzii_2009
AR0036-C,ANG_1_coluzzii_2009
AR0001-C,ANG_1_coluzzii_2009
AR0006-C,ANG_1_coluzzii_2009
AR0046-C,ANG_1_coluzzii_2009
AR0070-Cx,ANG_1_coluzzii_2009
AR0010-Cx,ANG_1_coluzzii_2009
AR0090-Cx,ANG_1_coluzzii_2009
AR0054-Cx,ANG_1_coluzzii_2009
