,kt_2La
AR0047-C,1
AR0049-C,1
AR0051-C,1
AR0061-C,1
AR0078-C,1
AR0080-C,1
AR0084-C,1
AR0097-C,1
AR0072-C,1
AR0094-C,1
AR0095-C,1
AR0083-C,1
AR0093-C,1
AR0021-C,1
AR0082-C,1
AR0008-C,1
AR0085-C,1
AR0098-C,1
AR0092-C,1
AR0017-C,1
AR0015-C,1
AR0019-C,1
AR0100-C,1
AR0034-C,1
AR0086-C,1
AR0057-C,1
AR0076-C,1
AR0042-C,1
AR0063-C,1
AR0012-C,1
AR0087-C,1
AR0065-C,1
AR0038-C,1
AR0089-C,1
AR0071-C,1
AR0096-C,1
AR0088-C,1
AR0066-C,1
AR0023-C,1
AR0020-C,1
AR0024-C,1
AR0014-C,0
AR0079-C,1
AR0027-C,1
AR0075-C,1
AR0077-C,1
AR0007-C,1
AR0062-C,1
AR0060-C,1
AR0022-C,1
AR0002-C,1
AR0059-C,1
AR0048-C,1
AR0011-C,1
AR0009-C,1
AR0043-C,1
AR0035-C,1
AR0074-C,1
AR0045-C,1
AR0073-C,1
AR0004-C,1
AR0040-C,1
AR0052-C,0
AR0064-C,1
AR0044-C,1
AR0036-C,1
AR0001-C,1
AR0006-C,1
AR0046-C,0
AR0070-Cx,1
AR0010-Cx,1
AR0090-Cx,1
AR0054-Cx,1
AR0016-Cx,1
AR0050-Cx,1
AR0069-Cx,1
AR0018-Cx,1
AR0081-Cx,1
AR0013-Cx,1
AR0026-C,0
AR0053-C,1
AB0085-Cx,2
AB0086-Cx,2
AB0087-C,2
AB0088-C,2
AB0089-Cx,2
AB0090-C,2
AB0091-C,2
AB0092-C,2
AB0094-Cx,2
AB0095-Cx,2
AB0096-C,2
AB0097-Cx,2
AB0098-Cx,2
AB0099-Cx,2
AB0100-C,2
AB0101-C,2
AB0103-C,2
AB0104-Cx,2
AB0109-C,2
AB0110-C,2
AB0111-C,2
AB0112-C,2
AB0113-C,2
AB0114-C,2
AB0115-C,2
AB0116-C,2
AB0117-C,0
AB0118-C,2
AB0119-C,2
AB0121-C,2
AB0122-C,2
AB0123-C,2
AB0124-C,2
AB0126-Cx,0
AB0127-C,2
AB0128-C,2
AB0129-C,2
AB0130-Cx,2
AB0131-Cx,2
AB0132-C,2
AB0133-C,2
AB0134-C,2
AB0135-C,2
AB0136-Cx,2
AB0137-Cx,2
AB0138-Cx,2
AB0139-C,2
AB0140-C,2
AB0142-C,2
AB0143-Cx,2
AB0144-C,2
AB0145-C,0
AB0146-Cx,2
AB0147-C,2
AB0148-Cx,0
AB0150-Cx,2
AB0151-Cx,0
AB0153-C,0
