chrom,cross_id,FalseDiscoveryRate.site_filters,FalseDiscoveryRate.unfiltered,TruePositiveRate.site_filters,TruePositiveRate.unfiltered
2L,37-3,1.0934E-03,1.2294E-02,9.8635E-01,1.0000E+00
2L,45-1,7.7343E-04,1.0127E-02,9.8864E-01,1.0000E+00
2L,73-2,5.3826E-04,1.0295E-02,9.8826E-01,1.0000E+00
2L,B5,5.8320E-04,7.2671E-03,9.9171E-01,1.0000E+00
2L,K6,4.1293E-04,7.4224E-03,9.9153E-01,1.0000E+00
2R,37-3,9.9057E-04,9.2605E-03,9.8969E-01,1.0000E+00
2R,45-1,6.4869E-04,7.9514E-03,9.9101E-01,1.0000E+00
2R,73-2,4.4062E-04,8.3500E-03,9.9035E-01,1.0000E+00
2R,B5,5.2336E-04,6.5885E-03,9.9252E-01,1.0000E+00
2R,K6,2.9529E-04,6.1024E-03,9.9288E-01,1.0000E+00
3L,37-3,1.0157E-03,1.1540E-02,9.8652E-01,1.0000E+00
3L,45-1,6.4365E-04,9.5122E-03,9.8875E-01,1.0000E+00
3L,73-2,4.9049E-04,9.3065E-03,9.8890E-01,1.0000E+00
3L,B5,6.5900E-04,8.4888E-03,9.9002E-01,1.0000E+00
3L,K6,3.5588E-04,7.5322E-03,9.9087E-01,1.0000E+00
3R,37-3,1.0474E-03,1.1582E-02,9.8657E-01,1.0000E+00
3R,45-1,6.9027E-04,9.9364E-03,9.8836E-01,1.0000E+00
3R,73-2,5.1687E-04,1.0114E-02,9.8799E-01,1.0000E+00
3R,B5,6.7900E-04,9.7071E-03,9.8864E-01,1.0000E+00
3R,K6,4.3232E-04,9.1328E-03,9.8908E-01,1.0000E+00
