chrom,cross_id,FalseDiscoveryRate.Phase2_filters,FalseDiscoveryRate.Phase3_filters,TruePositiveRate.Phase2_filters,TruePositiveRate.Phase3_filters,Youden_J.Phase2_filters,Youden_J.Phase3_filters
2L,37-3,2.0394E-03,1.0934E-03,9.8319E-01,9.8635E-01,9.7940E-01,9.8090E-01
2L,45-1,1.6499E-03,7.7343E-04,9.8613E-01,9.8864E-01,9.8306E-01,9.8476E-01
2L,73-2,1.3020E-03,5.3826E-04,9.8560E-01,9.8826E-01,9.8315E-01,9.8549E-01
2L,B5,7.7499E-04,5.8320E-04,9.8945E-01,9.9171E-01,9.8807E-01,9.8908E-01
2L,K6,6.4936E-04,4.1293E-04,9.8930E-01,9.9153E-01,9.8808E-01,9.8944E-01
2R,37-3,1.9689E-03,9.9057E-04,9.8922E-01,9.8969E-01,9.8401E-01,9.8522E-01
2R,45-1,1.5546E-03,6.4869E-04,9.9069E-01,9.9101E-01,9.8646E-01,9.8797E-01
2R,73-2,1.2193E-03,4.4062E-04,9.8983E-01,9.9035E-01,9.8650E-01,9.8825E-01
2R,B5,7.1149E-04,5.2336E-04,9.9171E-01,9.9252E-01,9.8978E-01,9.9009E-01
2R,K6,5.0385E-04,2.9529E-04,9.9215E-01,9.9288E-01,9.9079E-01,9.9151E-01
3L,37-3,1.9636E-03,1.0157E-03,9.8524E-01,9.8652E-01,9.8090E-01,9.8259E-01
3L,45-1,1.5195E-03,6.4365E-04,9.8781E-01,9.8875E-01,9.8439E-01,9.8620E-01
3L,73-2,1.2502E-03,4.9049E-04,9.8789E-01,9.8890E-01,9.8504E-01,9.8692E-01
3L,B5,8.6649E-04,6.5900E-04,9.8861E-01,9.9002E-01,9.8667E-01,9.8743E-01
3L,K6,5.8668E-04,3.5588E-04,9.8965E-01,9.9087E-01,9.8836E-01,9.8951E-01
3R,37-3,2.0017E-03,1.0474E-03,9.8535E-01,9.8657E-01,9.8081E-01,9.8241E-01
3R,45-1,1.5981E-03,6.9027E-04,9.8742E-01,9.8836E-01,9.8370E-01,9.8552E-01
3R,73-2,1.2932E-03,5.1687E-04,9.8689E-01,9.8799E-01,9.8387E-01,9.8584E-01
3R,B5,8.9259E-04,6.7900E-04,9.8706E-01,9.8864E-01,9.8498E-01,9.8584E-01
3R,K6,6.5380E-04,4.3232E-04,9.8761E-01,9.8908E-01,9.8610E-01,9.8732E-01
