sample_id,sample_set,country,location,year,month,latitude,longitude,sex_call,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,is_arabiensis,is_gamb_colu,is_gambiae,is_coluzzii
AR0047-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.945,0.001,gamb_colu,coluzzii,False,True,False,True
AR0049-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.933,0.001,gamb_colu,coluzzii,False,True,False,True
AR0051-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.937,0.002,gamb_colu,coluzzii,False,True,False,True
AR0061-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.938,0.002,gamb_colu,coluzzii,False,True,False,True
AR0078-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.926,0.001,gamb_colu,coluzzii,False,True,False,True
AR0080-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.941,0.001,gamb_colu,coluzzii,False,True,False,True
AR0084-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.949,0.002,gamb_colu,coluzzii,False,True,False,True
AR0097-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.936,0.001,gamb_colu,coluzzii,False,True,False,True
AR0072-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.944,0.001,gamb_colu,coluzzii,False,True,False,True
AR0094-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,M,0.946,0.002,gamb_colu,coluzzii,False,True,False,True
AR0095-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.927,0.001,gamb_colu,coluzzii,False,True,False,True
AR0083-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.94,0.001,gamb_colu,coluzzii,False,True,False,True
AR0093-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.944,0.001,gamb_colu,coluzzii,False,True,False,True
AR0021-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.937,0.002,gamb_colu,coluzzii,False,True,False,True
AR0082-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.944,0.001,gamb_colu,coluzzii,False,True,False,True
AR0008-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.944,0.001,gamb_colu,coluzzii,False,True,False,True
AR0085-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.936,0.001,gamb_colu,coluzzii,False,True,False,True
AR0098-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.938,0.001,gamb_colu,coluzzii,False,True,False,True
AR0092-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.933,0.001,gamb_colu,coluzzii,False,True,False,True
AR0017-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.944,0.001,gamb_colu,coluzzii,False,True,False,True
AR0015-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.932,0.001,gamb_colu,coluzzii,False,True,False,True
AR0019-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.94,0.001,gamb_colu,coluzzii,False,True,False,True
AR0100-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.937,0.002,gamb_colu,coluzzii,False,True,False,True
AR0034-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.941,0.001,gamb_colu,coluzzii,False,True,False,True
AR0086-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.921,0.001,gamb_colu,coluzzii,False,True,False,True
AR0057-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.931,0.001,gamb_colu,coluzzii,False,True,False,True
AR0076-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.94,0.001,gamb_colu,coluzzii,False,True,False,True
AR0042-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.944,0.001,gamb_colu,coluzzii,False,True,False,True
AR0063-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.931,0.001,gamb_colu,coluzzii,False,True,False,True
AR0012-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.946,0.001,gamb_colu,coluzzii,False,True,False,True
AR0087-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.944,0.001,gamb_colu,coluzzii,False,True,False,True
AR0065-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.945,0.001,gamb_colu,coluzzii,False,True,False,True
AR0038-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.935,0.001,gamb_colu,coluzzii,False,True,False,True
AR0089-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.928,0.001,gamb_colu,coluzzii,False,True,False,True
AR0071-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.939,0.001,gamb_colu,coluzzii,False,True,False,True
AR0096-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.935,0.001,gamb_colu,coluzzii,False,True,False,True
AR0088-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.936,0.001,gamb_colu,coluzzii,False,True,False,True
AR0066-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.942,0.001,gamb_colu,coluzzii,False,True,False,True
AR0023-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.926,0.001,gamb_colu,coluzzii,False,True,False,True
AR0020-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.942,0.001,gamb_colu,coluzzii,False,True,False,True
AR0024-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.944,0.001,gamb_colu,coluzzii,False,True,False,True
AR0014-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.926,0.002,gamb_colu,coluzzii,False,True,False,True
AR0079-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.941,0.001,gamb_colu,coluzzii,False,True,False,True
AR0027-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.944,0.001,gamb_colu,coluzzii,False,True,False,True
AR0075-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.942,0.001,gamb_colu,coluzzii,False,True,False,True
AR0077-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.949,0.001,gamb_colu,coluzzii,False,True,False,True
AR0007-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.94,0.001,gamb_colu,coluzzii,False,True,False,True
AR0062-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.928,0.001,gamb_colu,coluzzii,False,True,False,True
AR0060-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.939,0.001,gamb_colu,coluzzii,False,True,False,True
AR0022-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.938,0.001,gamb_colu,coluzzii,False,True,False,True
AR0002-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,M,0.939,0.002,gamb_colu,coluzzii,False,True,False,True
AR0059-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.936,0.001,gamb_colu,coluzzii,False,True,False,True
AR0048-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.939,0.001,gamb_colu,coluzzii,False,True,False,True
AR0011-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.936,0.001,gamb_colu,coluzzii,False,True,False,True
AR0009-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.952,0.001,gamb_colu,coluzzii,False,True,False,True
AR0043-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.932,0.001,gamb_colu,coluzzii,False,True,False,True
AR0035-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.934,0.001,gamb_colu,coluzzii,False,True,False,True
AR0074-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.942,0.001,gamb_colu,coluzzii,False,True,False,True
AR0045-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.93,0.001,gamb_colu,coluzzii,False,True,False,True
AR0073-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.937,0.001,gamb_colu,coluzzii,False,True,False,True
AR0004-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,M,0.936,0.002,gamb_colu,coluzzii,False,True,False,True
AR0040-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.942,0.001,gamb_colu,coluzzii,False,True,False,True
AR0052-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.938,0.001,gamb_colu,coluzzii,False,True,False,True
AR0064-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.933,0.001,gamb_colu,coluzzii,False,True,False,True
AR0044-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.935,0.001,gamb_colu,coluzzii,False,True,False,True
AR0036-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.939,0.001,gamb_colu,coluzzii,False,True,False,True
AR0001-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.945,0.001,gamb_colu,coluzzii,False,True,False,True
AR0006-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,M,0.938,0.002,gamb_colu,coluzzii,False,True,False,True
AR0046-C,AG1000G-AO,Angola,Luanda,2009,4,-8.884,13.302,F,0.927,0.001,gamb_colu,coluzzii,False,True,False,True
