derived_sample_id	seq_tech	ebi_sample_acc
AR0047-C	HiSeq	ERS224005
AR0091-C	HiSeq	ERS224012
AR0049-C	HiSeq	ERS224019
AR0051-C	HiSeq	ERS224026
AR0061-C	HiSeq	ERS224033
AR0078-C	HiSeq	ERS224040
AR0080-C	HiSeq	ERS224047
AR0084-C	HiSeq	ERS224054
AR0097-C	HiSeq	ERS224061
AR0099-C	HiSeq	ERS224068
AR0072-C	HiSeq	ERS224075
AR0094-C	HiSeq	ERS224082
AR0095-C	HiSeq	ERS224097
AR0070-C	HiSeq	ERS224088
AR0010-C	HiSeq	ERS224099
AR0090-C	HiSeq	ERS224106
AR0054-C	HiSeq	ERS224119
AR0083-C	HiSeq	ERS224120
AR0093-C	HiSeq	ERS224121
AR0021-C	HiSeq	ERS224126
AR0016-C	HiSeq	ERS224127
AR0082-C	HiSeq	ERS224128
AR0008-C	HiSeq	ERS224129
AR0067-C	HiSeq	ERS224139
AR0085-C	HiSeq	ERS224164
AR0098-C	HiSeq	ERS224098
AR0092-C	HiSeq	ERS224123
AR0017-C	HiSeq	ERS224124
AR0015-C	HiSeq	ERS224131
AR0019-C	HiSeq	ERS224138
AR0100-C	HiSeq	ERS224144
AR0034-C	HiSeq	ERS224145
AR0086-C	HiSeq	ERS224152
AR0057-C	HiSeq	ERS224175
AR0076-C	HiSeq	ERS224176
AR0042-C	HiSeq	ERS224189
AR0063-C	HiSeq	ERS224196
AR0012-C	HiSeq	ERS224230
AR0087-C	HiSeq	ERS224231
AR0065-C	HiSeq	ERS224237
AR0038-C	HiSeq	ERS224172
AR0050-C	HiSeq	ERS224177
AR0069-C	HiSeq	ERS224183
AR0089-C	HiSeq	ERS224186
AR0071-C	HiSeq	ERS224194
AR0096-C	HiSeq	ERS224201
AR0088-C	HiSeq	ERS224215
AR0018-C	HiSeq	ERS224234
AR0066-C	HiSeq	ERS224236
AR0023-C	HiSeq	ERS224251
AR0020-C	HiSeq	ERS224267
AR0081-C	HiSeq	ERS224268
AR0024-C	HiSeq	ERS224280
AR0014-C	HiSeq	ERS224282
AR0068-C	HiSeq	ERS224308
AR0079-C	HiSeq	ERS224321
AR0013-C	HiSeq	ERS224323
AR0027-C	HiSeq	ERS224329
AR0075-C	HiSeq	ERS224330
AR0077-C	HiSeq	ERS224255
AR0007-C	HiSeq	ERS224256
AR0062-C	HiSeq	ERS224257
AR0060-C	HiSeq	ERS224269
AR0022-C	HiSeq	ERS224289
AR0002-C	HiSeq	ERS224290
AR0059-C	HiSeq	ERS224297
AR0048-C	HiSeq	ERS224299
AR0011-C	HiSeq	ERS224318
AR0009-C	HiSeq	ERS224325
AR0043-C	HiSeq	ERS224331
AR0035-C	HiSeq	ERS224333
AR0074-C	HiSeq	ERS224306
AR0045-C	HiSeq	ERS224327
AR0058-C	HiSeq	ERS224628
AR0073-C	HiSeq	ERS224791
AR0004-C	HiSeq	ERS224792
AR0040-C	HiSeq	ERS224793
AR0052-C	HiSeq	ERS224794
AR0064-C	HiSeq	ERS224795
AR0044-C	HiSeq	ERS224797
AR0036-C	HiSeq	ERS224799
AR0001-C	HiSeq	ERS224790
AR0006-C	HiSeq	ERS224796
AR0046-C	HiSeq	ERS224798
AR0058-Cx	HiSeq	ERS224628
AR0070-Cx	HiSeq	ERS224088
AR0010-Cx	HiSeq	ERS224099
AR0090-Cx	HiSeq	ERS224106
AR0054-Cx	HiSeq	ERS224119
AR0083-Cx	HiSeq	ERS224120
AR0093-Cx	HiSeq	ERS224121
AR0021-Cx	HiSeq	ERS224126
AR0016-Cx	HiSeq	ERS224127
AR0082-Cx	HiSeq	ERS224128
AR0008-Cx	HiSeq	ERS224129
AR0067-Cx	HiSeq	ERS224139
AR0085-Cx	HiSeq	ERS224164
AR0038-Cx	HiSeq	ERS224172
AR0050-Cx	HiSeq	ERS224177
AR0069-Cx	HiSeq	ERS224183
AR0089-Cx	HiSeq	ERS224186
AR0071-Cx	HiSeq	ERS224194
AR0096-Cx	HiSeq	ERS224201
AR0088-Cx	HiSeq	ERS224215
AR0018-Cx	HiSeq	ERS224234
AR0066-Cx	HiSeq	ERS224236
AR0004-Cx	HiSeq	ERS224792
AR0023-Cx	HiSeq	ERS224251
AR0020-Cx	HiSeq	ERS224267
AR0081-Cx	HiSeq	ERS224268
AR0024-Cx	HiSeq	ERS224280
AR0014-Cx	HiSeq	ERS224282
AR0068-Cx	HiSeq	ERS224308
AR0079-Cx	HiSeq	ERS224321
AR0013-Cx	HiSeq	ERS224323
AR0027-Cx	HiSeq	ERS224329
AR0075-Cx	HiSeq	ERS224330
AR0073-Cx	HiSeq	ERS224791
AR0030-C	HiSeq	ERS254267
AR0056-C	HiSeq	ERS254296
AR0041-C	HiSeq	ERS254302
AR0026-C	HiSeq	ERS254305
AR0053-C	HiSeq	ERS254306
AR0028-C	HiSeq	ERS254307
AR0037-C	HiSeq	ERS254308
AR0039-C	HiSeq	ERS254309
AR0025-C	HiSeq	ERS254332
AR0003-C	HiSeq	ERS254359
AR0032-C	HiSeq	ERS254360
AR0005-C	HiSeq	ERS254279
AR0031-C	HiSeq	ERS254288
AR0033-C	HiSeq	ERS254290
AR0029-C	HiSeq	ERS254319
