derived_sample_id	seq_tech	ebi_sample_acc
AB0298-C	HiSeqX	ERS1118969
AB0299-C	HiSeqX	ERS1118970
AB0301-C	HiSeqX	ERS1118971
AB0302-C	HiSeqX	ERS1118972
AB0303-C	HiSeqX	ERS1118973
AB0309-C	HiSeqX	ERS1118974
AB0312-C	HiSeqX	ERS1118975
AB0313-C	HiSeqX	ERS1118976
AB0314-C	HiSeqX	ERS1118977
AB0315-C	HiSeqX	ERS1118978
AB0316-C	HiSeqX	ERS1118979
AB0317-C	HiSeqX	ERS1118980
AB0318-C	HiSeqX	ERS1118981
AB0319-C	HiSeqX	ERS1118982
AB0320-C	HiSeqX	ERS1118983
AB0321-C	HiSeqX	ERS1118984
AB0322-C	HiSeqX	ERS1118985
AB0323-C	HiSeqX	ERS1118986
AB0324-C	HiSeqX	ERS1118987
AB0325-C	HiSeqX	ERS1118988
AB0310-CW	HiSeqX	ERS1297474
AB0311-CW	HiSeqX	ERS1297124
AB0300-CW	HiSeqX	ERS1297650
AB0304-CW	HiSeqX	ERS1297121
AB0305-CW	HiSeqX	ERS1297473
AB0308-CW	HiSeqX	ERS1297123
