derived_sample_id	seq_tech	ebi_sample_acc
BP0009-C	HiSeqX	ERS1106848
BP0010-C	HiSeqX	ERS1106849
BP0011-C	HiSeqX	ERS1106850
BP0012-C	HiSeqX	ERS1106851
BP0013-C	HiSeqX	ERS1106852
BP0014-C	HiSeqX	ERS1106853
BP0015-C	HiSeqX	ERS1106854
BP0016-C	HiSeqX	ERS1106855
BP0017-C	HiSeqX	ERS1106856
BP0018-C	HiSeqX	ERS1106857
BP0019-C	HiSeqX	ERS1106858
BP0020-C	HiSeqX	ERS1106859
BP0021-C	HiSeqX	ERS1106860
BP0022-C	HiSeqX	ERS1106861
BP0023-C	HiSeqX	ERS1106862
BP0024-C	HiSeqX	ERS1106863
BP0025-C	HiSeqX	ERS1106864
BP0026-C	HiSeqX	ERS1106865
BP0027-C	HiSeqX	ERS1106866
BP0028-C	HiSeqX	ERS1106867
BP0029-C	HiSeqX	ERS1106868
BP0030-C	HiSeqX	ERS1106869
BP0031-C	HiSeqX	ERS1106870
BP0032-C	HiSeqX	ERS1106871
BP0033-C	HiSeqX	ERS1106872
BP0034-C	HiSeqX	ERS1106873
BP0035-C	HiSeqX	ERS1106874
BP0036-C	HiSeqX	ERS1106875
BP0037-C	HiSeqX	ERS1106876
BP0038-C	HiSeqX	ERS1106877
BP0039-C	HiSeqX	ERS1106878
BP0040-C	HiSeqX	ERS1106879
BP0041-C	HiSeqX	ERS1106880
BP0042-C	HiSeqX	ERS1106881
BP0043-C	HiSeqX	ERS1106882
BP0044-C	HiSeqX	ERS1106883
BP0045-C	HiSeqX	ERS1106884
BP0046-C	HiSeqX	ERS1106885
BP0047-C	HiSeqX	ERS1106886
BP0048-C	HiSeqX	ERS1106887
BP0049-C	HiSeqX	ERS1106888
BP0050-C	HiSeqX	ERS1106889
BP0051-C	HiSeqX	ERS1106890
BP0052-C	HiSeqX	ERS1106891
BP0053-C	HiSeqX	ERS1106892
BP0054-C	HiSeqX	ERS1106893
BP0055-C	HiSeqX	ERS1106894
BP0056-C	HiSeqX	ERS1106895
BP0057-C	HiSeqX	ERS1106896
BP0058-C	HiSeqX	ERS1106897
BP0059-C	HiSeqX	ERS1106898
BP0060-C	HiSeqX	ERS1106899
BP0061-C	HiSeqX	ERS1106900
BP0062-C	HiSeqX	ERS1106901
BP0064-C	HiSeqX	ERS1106902
BP0065-C	HiSeqX	ERS1106903
BP0066-C	HiSeqX	ERS1106904
BP0067-C	HiSeqX	ERS1106905
BP0069-C	HiSeqX	ERS1106906
BP0070-C	HiSeqX	ERS1106907
BP0071-C	HiSeqX	ERS1106908
BP0072-C	HiSeqX	ERS1106909
BP0073-C	HiSeqX	ERS1106910
BP0074-C	HiSeqX	ERS1106911
BP0075-C	HiSeqX	ERS1106912
BP0076-C	HiSeqX	ERS1106913
BP0077-C	HiSeqX	ERS1106914
BP0078-C	HiSeqX	ERS1106915
BP0079-C	HiSeqX	ERS1106916
BP0080-C	HiSeqX	ERS1106917
BP0081-C	HiSeqX	ERS1106918
BP0001-C	HiSeqX	ERS1106840
BP0002-C	HiSeqX	ERS1106841
BP0003-C	HiSeqX	ERS1106842
BP0004-C	HiSeqX	ERS1106843
BP0005-C	HiSeqX	ERS1106844
BP0006-C	HiSeqX	ERS1106845
BP0007-C	HiSeqX	ERS1106846
BP0008-C	HiSeqX	ERS1106847
BP0063-CW	HiSeqX	ERS1297079
BP0068-CW	HiSeqX	ERS1297452
