derived_sample_id	seq_tech	ebi_sample_acc
AB0293-C	HiSeqX	ERS1118965
AB0294-C	HiSeqX	ERS1118966
AB0295-C	HiSeqX	ERS1118967
AB0297-C	HiSeqX	ERS1118968
AN0418-C	HiSeqX	ERS1118989
AN0419-C	HiSeqX	ERS1118990
AN0421-C	HiSeqX	ERS1118991
AN0423-C	HiSeqX	ERS1118992
AN0424-C	HiSeqX	ERS1118993
AN0425-C	HiSeqX	ERS1118994
AN0426-C	HiSeqX	ERS1118995
AN0427-C	HiSeqX	ERS1118996
AN0428-C	HiSeqX	ERS1118997
AN0430-C	HiSeqX	ERS1118998
AN0431-C	HiSeqX	ERS1118999
AN0433-C	HiSeqX	ERS1119000
AN0434-C	HiSeqX	ERS1119001
AN0435-C	HiSeqX	ERS1119002
AN0436-C	HiSeqX	ERS1119003
AN0437-C	HiSeqX	ERS1119004
AN0438-C	HiSeqX	ERS1119005
AN0440-C	HiSeqX	ERS1119006
AN0442-C	HiSeqX	ERS1119007
AN0443-C	HiSeqX	ERS1119008
AN0444-C	HiSeqX	ERS1119009
AN0445-C	HiSeqX	ERS1119010
AN0448-C	HiSeqX	ERS1119011
AN0449-C	HiSeqX	ERS1119012
AN0451-C	HiSeqX	ERS1119013
AN0453-C	HiSeqX	ERS1119014
AN0454-C	HiSeqX	ERS1119015
AN0455-C	HiSeqX	ERS1119016
AN0457-C	HiSeqX	ERS1119017
AN0458-C	HiSeqX	ERS1119018
AN0460-C	HiSeqX	ERS1119019
AN0461-C	HiSeqX	ERS1119020
AN0466-C	HiSeqX	ERS1119021
AN0468-C	HiSeqX	ERS1119022
AN0469-C	HiSeqX	ERS1119023
AN0470-C	HiSeqX	ERS1119024
AN0471-C	HiSeqX	ERS1119025
AN0474-C	HiSeqX	ERS1119026
AN0475-C	HiSeqX	ERS1119027
AN0476-C	HiSeqX	ERS1119028
AN0477-C	HiSeqX	ERS1119029
AN0478-C	HiSeqX	ERS1119030
AN0479-C	HiSeqX	ERS1119031
AN0480-C	HiSeqX	ERS1119032
AN0485-C	HiSeqX	ERS1119033
AN0486-C	HiSeqX	ERS1119034
AN0487-C	HiSeqX	ERS1119035
AN0488-C	HiSeqX	ERS1119036
AN0491-C	HiSeqX	ERS1119037
