derived_sample_id	seq_tech	ebi_sample_acc
AA0052-C	HiSeq	ERS311879
AA0103-C	HiSeq	ERS311907
AA0115-C	HiSeq	ERS311908
AA0050-C	HiSeq	ERS311958
AA0134-C	HiSeq	ERS311965
AA0063-C	HiSeq	ERS311872
AA0040-C	HiSeq	ERS311878
AA0064-C	HiSeq	ERS311880
AA0088-C	HiSeq	ERS311882
AA0100-C	HiSeq	ERS311883
AA0077-C	HiSeq	ERS311889
AA0055-C	HiSeq	ERS311903
AA0116-C	HiSeq	ERS311916
AA0059-C	HiSeq	ERS311935
AA0084-C	HiSeq	ERS311945
AA0066-C	HiSeq	ERS311896
AA0106-C	HiSeq	ERS311931
AA0107-C	HiSeq	ERS311939
AA0060-C	HiSeq	ERS311943
AA0051-C	HiSeq	ERS311871
AA0087-C	HiSeq	ERS311874
AA0065-C	HiSeq	ERS311888
AA0125-C	HiSeq	ERS311893
AA0104-C	HiSeq	ERS311915
AA0119-C	HiSeq	ERS311940
AA0061-C	HiSeq	ERS311951
AA0098-C	HiSeq	ERS311962
AA0112-C	HiSeq	ERS311884
AA0089-C	HiSeq	ERS311890
AA0101-C	HiSeq	ERS311891
AA0113-C	HiSeq	ERS311892
AA0044-C	HiSeq	ERS311910
AA0105-C	HiSeq	ERS311923
AA0070-C	HiSeq	ERS311928
AA0075-C	HiSeq	ERS311873
AA0041-C	HiSeq	ERS311886
AA0042-C	HiSeq	ERS311894
AA0114-C	HiSeq	ERS311900
AA0126-C	HiSeq	ERS311901
AA0093-C	HiSeq	ERS311922
AA0123-C	HiSeq	ERS311877
AA0054-C	HiSeq	ERS311895
AA0128-C	HiSeq	ERS311917
AA0129-C	HiSeq	ERS311925
AA0094-C	HiSeq	ERS311930
AA0118-C	HiSeq	ERS311932
AA0071-C	HiSeq	ERS311936
AA0097-C	HiSeq	ERS311954
AA0092-C	HiSeq	ERS311914
AA0047-C	HiSeq	ERS311934
AA0141-C	HiSeq	ERS311972
AA0039-C	HiSeq	ERS311870
AA0046-C	HiSeq	ERS311926
AA0095-C	HiSeq	ERS311938
AA0120-C	HiSeq	ERS311948
AA0076-C	HiSeq	ERS311881
AA0043-C	HiSeq	ERS311902
AA0127-C	HiSeq	ERS311909
AA0069-C	HiSeq	ERS311920
AA0049-C	HiSeq	ERS311950
AA0133-C	HiSeq	ERS311957
AA0110-C	HiSeq	ERS311963
AA0099-C	HiSeq	ERS311875
AA0111-C	HiSeq	ERS311876
AA0090-C	HiSeq	ERS311898
AA0067-C	HiSeq	ERS311904
AA0117-C	HiSeq	ERS311924
AA0131-C	HiSeq	ERS311941
AA0096-C	HiSeq	ERS311946
AA0053-C	HiSeq	ERS311887
AA0078-C	HiSeq	ERS311897
AA0102-C	HiSeq	ERS311899
AA0130-C	HiSeq	ERS311933
AA0132-C	HiSeq	ERS311949
AA0085-C	HiSeq	ERS311953
AA0048-C	HiSeq	ERS311942
AA0056-C	HiSeq	ERS311911
AA0068-C	HiSeq	ERS311912
AA0058-C	HiSeq	ERS311927
AA0083-C	HiSeq	ERS311937
AA0073-C	HiSeq	ERS311952
AA0062-C	HiSeq	ERS311959
AA0074-C	HiSeq	ERS311960
AA0138-C	HiSeq	ERS311969
AA0091-C	HiSeq	ERS311906
AA0081-C	HiSeq	ERS311921
AA0082-C	HiSeq	ERS311929
AA0109-C	HiSeq	ERS311955
AA0122-C	HiSeq	ERS311964
AA0137-C	HiSeq	ERS311968
AA0140-C	HiSeq	ERS311971
AA0079-C	HiSeq	ERS311905
AA0080-C	HiSeq	ERS311913
AA0086-C	HiSeq	ERS311961
AA0136-C	HiSeq	ERS311967
AA0139-C	HiSeq	ERS311970
AA0057-C	HiSeq	ERS311919
AA0135-C	HiSeq	ERS311966
AA0124-C	HiSeq	ERS311885
AA0045-C	HiSeq	ERS311918
AA0072-C	HiSeq	ERS311944
AA0108-C	HiSeq	ERS311947
