derived_sample_id	seq_tech	ebi_sample_acc
AG0378-CW	HiSeq	ERS680029
AG0379-CW	HiSeq	ERS680030
AG0380-CW	HiSeq	ERS680031
AG0381-CW	HiSeq	ERS680032
AG0382-CW	HiSeq	ERS680033
AG0383-CW	HiSeq	ERS680034
AG0384-CW	HiSeq	ERS680035
AG0385-CW	HiSeq	ERS680036
AG0386-CW	HiSeq	ERS680037
AG0387-CW	HiSeq	ERS680038
AG0388-CW	HiSeq	ERS680039
AG0389-CW	HiSeq	ERS680052
AG0390-CW	HiSeq	ERS680053
AG0391-CW	HiSeq	ERS680054
AG0392-CW	HiSeq	ERS680055
AG0393-CW	HiSeq	ERS680056
AG0394-CW	HiSeq	ERS680057
AG0395-CW	HiSeq	ERS680058
AG0396-CW	HiSeq	ERS680059
AG0397-CW	HiSeq	ERS680060
AG0398-CW	HiSeq	ERS680061
AG0399-CW	HiSeq	ERS680062
AG0400-CW	HiSeq	ERS680063
AG0401-CW	HiSeq	ERS680064
AG0402-CW	HiSeq	ERS680065
AG0403-CW	HiSeq	ERS680066
AG0404-CW	HiSeq	ERS680067
AG0405-CW	HiSeq	ERS680068
AG0406-CW	HiSeq	ERS680069
AG0407-CW	HiSeq	ERS680070
AG0408-CW	HiSeq	ERS680071
AG0410-CW	HiSeq	ERS680073
AG0411-CW	HiSeq	ERS680074
AG0412-CW	HiSeq	ERS680075
AG0413-CW	HiSeq	ERS680076
AG0414-CW	HiSeq	ERS680077
AG0415-CW	HiSeq	ERS680078
AG0416-CW	HiSeq	ERS680079
AG0417-CW	HiSeq	ERS680080
AG0418-CW	HiSeq	ERS680081
AG0419-CW	HiSeq	ERS680082
AG0420-CW	HiSeq	ERS680083
AG0421-CW	HiSeq	ERS680084
AG0422-CW	HiSeq	ERS680085
AG0423-CW	HiSeq	ERS680086
AG0424-CW	HiSeq	ERS680087
AG0425-CW	HiSeq	ERS680088
AG0426-CW	HiSeq	ERS680089
AG0427-CW	HiSeq	ERS680090
AG0428-CW	HiSeq	ERS680091
AG0429-CW	HiSeq	ERS680092
AG0430-CW	HiSeq	ERS680093
AG0431-CW	HiSeq	ERS680094
AG0432-CW	HiSeq	ERS680095
AG0433-CW	HiSeq	ERS680096
AG0434-CW	HiSeq	ERS680097
AG0435-CW	HiSeq	ERS680098
AG0436-CW	HiSeq	ERS680099
AG0437-CW	HiSeq	ERS680100
AG0438-CW	HiSeq	ERS680101
AG0439-CW	HiSeq	ERS680102
AG0440-CW	HiSeq	ERS680103
AG0441-CW	HiSeq	ERS680104
AG0442-CW	HiSeq	ERS680105
AG0443-CW	HiSeq	ERS680106
AG0444-CW	HiSeq	ERS680107
AG0445-CW	HiSeq	ERS680108
AG0446-CW	HiSeq	ERS680109
AG0447-CW	HiSeq	ERS680110
AG0448-CW	HiSeq	ERS680111
AG0449-CW	HiSeq	ERS680112
AG0450-CW	HiSeq	ERS680113
AG0451-CW	HiSeq	ERS680114
AG0452-CW	HiSeq	ERS680115
AG0453-CW	HiSeq	ERS680116
AG0454-CW	HiSeq	ERS680117
AG0455-CW	HiSeq	ERS680118
AG0456-CW	HiSeq	ERS680119
AG0457-CW	HiSeq	ERS680120
AG0458-CW	HiSeq	ERS680121
AG0459-CW	HiSeq	ERS680122
AG0460-CW	HiSeq	ERS680123
AG0461-CW	HiSeq	ERS680124
AG0462-CW	HiSeq	ERS680125
AG0463-CW	HiSeq	ERS680126
AG0464-CW	HiSeq	ERS680127
AG0465-CW	HiSeq	ERS680128
AG0466-CW	HiSeq	ERS680129
AG0467-CW	HiSeq	ERS680130
AG0468-CW	HiSeq	ERS680131
AG0469-CW	HiSeq	ERS680132
AG0470-CW	HiSeq	ERS680133
AG0471-CW	HiSeq	ERS680134
AG0472-CW	HiSeq	ERS680135
AG0473-CW	HiSeq	ERS680136
AG0474-CW	HiSeq	ERS680137
AG0475-CW	HiSeq	ERS680138
AG0476-CW	HiSeq	ERS680139
AG0477-CW	HiSeq	ERS680140
AG0478-CW	HiSeq	ERS680141
AG0479-CW	HiSeq	ERS680142
AG0480-CW	HiSeq	ERS680143
AG0481-CW	HiSeq	ERS680144
AG0482-CW	HiSeq	ERS680145
AG0483-CW	HiSeq	ERS680146
AG0484-CW	HiSeq	ERS680147
AG0485-CW	HiSeq	ERS680148
AG0486-CW	HiSeq	ERS680149
AG0487-CW	HiSeq	ERS680150
