derived_sample_id	seq_tech	ebi_sample_acc
AJ0023-C	HiSeq	ERS254334
AJ0024-C	HiSeq	ERS254297
AJ0025-C	HiSeq	ERS254268
AJ0026-C	HiSeq	ERS254303
AJ0027-C	HiSeq	ERS254325
AJ0029-C	HiSeq	ERS254354
AJ0030-C	HiSeq	ERS254291
AJ0032-C	HiSeq	ERS254337
AJ0033-C	HiSeq	ERS254280
AJ0035-C	HiSeq	ERS254348
AJ0036-C	HiSeq	ERS254342
AJ0037-C	HiSeq	ERS254344
AJ0039-C	HiSeq	ERS254356
AJ0040-C	HiSeq	ERS254343
AJ0041-C	HiSeq	ERS254269
AJ0042-C	HiSeq	ERS254292
AJ0043-C	HiSeq	ERS254362
AJ0044-C	HiSeq	ERS224800
AJ0045-C	HiSeq	ERS224087
AJ0046-C	HiSeq	ERS254293
AJ0047-C	HiSeq	ERS254358
AJ0050-C	HiSeq	ERS224277
AJ0051-C	HiSeq	ERS254320
AJ0052-C	HiSeq	ERS254314
AJ0055-C	HiSeq	ERS254281
AJ0056-C	HiSeq	ERS254312
AJ0058-C	HiSeq	ERS254270
AJ0059-C	HiSeq	ERS254321
AJ0061-C	HiSeq	ERS254310
AJ0063-C	HiSeq	ERS254275
AJ0064-C	HiSeq	ERS224813
AJ0065-C	HiSeq	ERS254331
AJ0066-C	HiSeq	ERS224814
AJ0070-C	HiSeq	ERS224804
AJ0071-C	HiSeq	ERS224332
AJ0072-C	HiSeq	ERS254276
AJ0073-C	HiSeq	ERS254304
AJ0074-C	HiSeq	ERS254277
AJ0075-C	HiSeq	ERS224809
AJ0076-C	HiSeq	ERS224284
AJ0077-C	HiSeq	ERS254313
AJ0078-C	HiSeq	ERS224204
AJ0079-C	HiSeq	ERS254311
AJ0081-C	HiSeq	ERS254271
AJ0082-C	HiSeq	ERS254339
AJ0083-C	HiSeq	ERS254284
AJ0084-C	HiSeq	ERS254285
AJ0085-C	HiSeq	ERS254298
AJ0086-C	HiSeq	ERS254357
AJ0088-C	HiSeq	ERS254317
AJ0089-C	HiSeq	ERS254322
AJ0090-C	HiSeq	ERS254361
AJ0091-C	HiSeq	ERS254340
AJ0092-C	HiSeq	ERS224259
AJ0093-C	HiSeq	ERS224803
AJ0095-C	HiSeq	ERS224261
AJ0096-C	HiSeq	ERS224313
AJ0097-C	HiSeq	ERS224298
AJ0098-C	HiSeq	ERS224312
AJ0100-C	HiSeq	ERS224272
AJ0101-C	HiSeq	ERS224292
AJ0102-C	HiSeq	ERS224322
AJ0103-C	HiSeq	ERS254299
AJ0105-C	HiSeq	ERS254286
AJ0107-C	HiSeq	ERS224805
AJ0108-C	HiSeq	ERS254349
AJ0109-C	HiSeq	ERS254347
AJ0110-C	HiSeq	ERS254327
AJ0111-C	HiSeq	ERS254355
AJ0112-C	HiSeq	ERS254329
AJ0113-C	HiSeq	ERS224286
AJ0114-C	HiSeq	ERS254282
AJ0115-C	HiSeq	ERS254333
AJ0116-C	HiSeq	ERS224304
AJ0118-C	HiSeq	ERS254294
AJ0550-CW	HiSeqX	ERS1297080
AJ0551-CW	HiSeqX	ERS1297640
AJ0596-CW	HiSeqX	ERS1297454
AJ0608-CW	HiSeqX	ERS1297084
AJ0616-CW	HiSeqX	ERS1297641
AJ0099-C	HiSeq	ERS224811
AJ0117-C	HiSeq	ERS224817
AJ0044-Cx	HiSeq	ERS224800
AJ0070-Cx	HiSeq	ERS224804
AJ0078-Cx	HiSeq	ERS224204
AJ0096-Cx	HiSeq	ERS224313
AJ0101-Cx	HiSeq	ERS224292
AJ0107-Cx	HiSeq	ERS224805
AJ0120-C	HiSeq	ERS311973
AJ0121-C	HiSeq	ERS311977
AJ0122-C	HiSeq	ERS311981
AJ0123-C	HiSeq	ERS311985
AJ0124-C	HiSeq	ERS311989
AJ0125-C	HiSeq	ERS311993
AJ0126-C	HiSeq	ERS311997
AJ0127-C	HiSeq	ERS312000
AJ0128-C	HiSeq	ERS312003
AJ0129-C	HiSeq	ERS312006
AJ0130-C	HiSeq	ERS312009
AJ0131-C	HiSeq	ERS312012
AJ0132-C	HiSeq	ERS311974
AJ0133-C	HiSeq	ERS311978
AJ0134-C	HiSeq	ERS311982
AJ0135-C	HiSeq	ERS311986
AJ0136-C	HiSeq	ERS311990
AJ0137-C	HiSeq	ERS311994
AJ0138-C	HiSeq	ERS311998
AJ0139-C	HiSeq	ERS312001
AJ0140-C	HiSeq	ERS312004
AJ0141-C	HiSeq	ERS312007
AJ0142-C	HiSeq	ERS312010
AJ0143-C	HiSeq	ERS312013
AJ0144-C	HiSeq	ERS311975
AJ0145-C	HiSeq	ERS311979
AJ0146-C	HiSeq	ERS311983
AJ0147-C	HiSeq	ERS311987
AJ0148-C	HiSeq	ERS311991
AJ0149-C	HiSeq	ERS311995
AJ0150-C	HiSeq	ERS311999
AJ0151-C	HiSeq	ERS312002
AJ0152-C	HiSeq	ERS312005
AJ0153-C	HiSeq	ERS312008
AJ0154-C	HiSeq	ERS312011
AJ0155-C	HiSeq	ERS312014
AJ0156-C	HiSeq	ERS311976
AJ0157-C	HiSeq	ERS311980
AJ0158-C	HiSeq	ERS311984
AJ0159-C	HiSeq	ERS311988
AJ0161-C	HiSeq	ERS311996
