derived_sample_id	seq_tech	ebi_sample_acc
AZ0292-C	HiSeqX	ERS1196564
AZ0293-C	HiSeqX	ERS1196565
AZ0294-C	HiSeqX	ERS1196566
AZ0295-C	HiSeqX	ERS1196567
AZ0296-C	HiSeqX	ERS1196568
AZ0297-C	HiSeqX	ERS1196569
AZ0298-C	HiSeqX	ERS1196570
AZ0300-C	HiSeqX	ERS1196571
AZ0301-C	HiSeqX	ERS1196572
AZ0302-C	HiSeqX	ERS1196573
AZ0304-C	HiSeqX	ERS1196574
AZ0305-C	HiSeqX	ERS1196575
AZ0306-C	HiSeqX	ERS1196576
AZ0307-C	HiSeqX	ERS1196577
AZ0308-C	HiSeqX	ERS1196578
AZ0309-C	HiSeqX	ERS1196579
AZ0310-C	HiSeqX	ERS1196580
AZ0311-C	HiSeqX	ERS1196581
AZ0313-C	HiSeqX	ERS1196582
AZ0314-C	HiSeqX	ERS1196583
AZ0316-C	HiSeqX	ERS1196584
AZ0317-C	HiSeqX	ERS1196585
AZ0318-C	HiSeqX	ERS1196586
AZ0319-C	HiSeqX	ERS1196587
AZ0320-C	HiSeqX	ERS1196588
AZ0321-C	HiSeqX	ERS1196589
AZ0322-C	HiSeqX	ERS1196590
AZ0323-C	HiSeqX	ERS1196591
AZ0325-C	HiSeqX	ERS1196592
AZ0326-C	HiSeqX	ERS1196593
AZ0328-C	HiSeqX	ERS1196594
AZ0329-C	HiSeqX	ERS1196595
AZ0330-C	HiSeqX	ERS1196596
AZ0331-C	HiSeqX	ERS1196597
AZ0332-C	HiSeqX	ERS1196598
AZ0333-C	HiSeqX	ERS1230335
AZ0284-C	HiSeqX	ERS1196559
AZ0287-C	HiSeqX	ERS1196560
AZ0289-C	HiSeqX	ERS1196561
AZ0290-C	HiSeqX	ERS1196562
AZ0291-C	HiSeqX	ERS1196563
AZ0312-C	HiSeqX	ERS1237596
AZ0334-C	HiSeqX	ERS1237597
AZ0336-C	HiSeqX	ERS1237598
AZ0337-C	HiSeqX	ERS1237599
AZ0338-C	HiSeqX	ERS1237600
AZ0339-C	HiSeqX	ERS1237601
AZ0340-C	HiSeqX	ERS1237602
AZ0341-C	HiSeqX	ERS1237603
AZ0342-C	HiSeqX	ERS1237604
AZ0343-C	HiSeqX	ERS1237605
AZ0344-C	HiSeqX	ERS1237606
AZ0350-C	HiSeqX	ERS1237607
AZ0404-CW	HiSeqX	ERS1297381
AZ0422-CW	HiSeqX	ERS1297390
AZ0405-CW	HiSeqX	ERS1297603
AZ0424-CW	HiSeqX	ERS1297391
AZ0406-CW	HiSeqX	ERS1297382
AZ0425-CW	HiSeqX	ERS1297608
AZ0407-CW	HiSeqX	ERS1297873
AZ0426-CW	HiSeqX	ERS1297392
AZ0408-CW	HiSeqX	ERS1297383
AZ0429-CW	HiSeqX	ERS1297609
AZ0409-CW	HiSeqX	ERS1297604
AZ0433-CW	HiSeqX	ERS1297610
AZ0410-CW	HiSeqX	ERS1297384
AZ0434-CW	HiSeqX	ERS1297396
AZ0403-CW	HiSeqX	ERS1297715
AZ0416-CW	HiSeqX	ERS1297387
AZ0444-CW	HiSeqX	ERS1297401
AZ0447-CW	HiSeqX	ERS1298030
AZ0467-CW	HiSeqX	ERS1297723
AZ0450-CW	HiSeqX	ERS1297404
AZ0473-CW	HiSeqX	ERS1297620
AZ0451-CW	HiSeqX	ERS1297721
AZ0484-CW	HiSeqX	ERS1297421
AZ0452-CW	HiSeqX	ERS1297405
AZ0485-CW	HiSeqX	ERS1297623
AZ0456-CW	HiSeqX	ERS1297407
AZ0488-CW	HiSeqX	ERS1297423
AZ0459-CW	HiSeqX	ERS1297722
AZ0489-CW	HiSeqX	ERS1297624
AZ0460-CW	HiSeqX	ERS1297409
AZ0491-CW	HiSeqX	ERS1297726
AZ0466-CW	HiSeqX	ERS1297412
