derived_sample_id	seq_tech	ebi_sample_acc
AZ0152-C	HiSeqX	ERS1098611
AZ0153-C	HiSeqX	ERS1098612
AZ0154-C	HiSeqX	ERS1098613
AZ0155-C	HiSeqX	ERS1098614
AZ0156-C	HiSeqX	ERS1098615
AZ0157-C	HiSeqX	ERS1098616
AZ0158-C	HiSeqX	ERS1098617
AZ0159-C	HiSeqX	ERS1098618
AZ0160-C	HiSeqX	ERS1098619
AZ0161-C	HiSeqX	ERS1098620
AZ0162-C	HiSeqX	ERS1098621
AZ0163-C	HiSeqX	ERS1098622
AZ0164-C	HiSeqX	ERS1098623
AZ0165-C	HiSeqX	ERS1098624
AZ0166-C	HiSeqX	ERS1098625
AZ0167-C	HiSeqX	ERS1098626
AZ0168-C	HiSeqX	ERS1098627
AZ0169-C	HiSeqX	ERS1098628
AZ0170-C	HiSeqX	ERS1098629
AZ0171-C	HiSeqX	ERS1098630
AZ0172-C	HiSeqX	ERS1098631
AZ0173-C	HiSeqX	ERS1098632
AZ0174-C	HiSeqX	ERS1098633
AZ0175-C	HiSeqX	ERS1098634
AZ0176-C	HiSeqX	ERS1098635
AZ0177-C	HiSeqX	ERS1098636
AZ0178-C	HiSeqX	ERS1098637
AZ0179-C	HiSeqX	ERS1098638
AZ0180-C	HiSeqX	ERS1098639
AZ0181-C	HiSeqX	ERS1098640
AZ0182-C	HiSeqX	ERS1098641
AZ0183-C	HiSeqX	ERS1098642
AZ0184-C	HiSeqX	ERS1098643
AZ0185-C	HiSeqX	ERS1098644
AZ0186-C	HiSeqX	ERS1098645
AZ0187-C	HiSeqX	ERS1098646
AZ0188-C	HiSeqX	ERS1098647
AZ0189-C	HiSeqX	ERS1098648
AZ0190-C	HiSeqX	ERS1098649
AZ0191-C	HiSeqX	ERS1098650
AZ0192-C	HiSeqX	ERS1098651
AZ0193-C	HiSeqX	ERS1098652
AZ0194-C	HiSeqX	ERS1098653
AZ0195-C	HiSeqX	ERS1098654
AZ0196-C	HiSeqX	ERS1098655
AZ0197-C	HiSeqX	ERS1098656
AZ0198-C	HiSeqX	ERS1098657
AZ0199-C	HiSeqX	ERS1098658
AZ0200-C	HiSeqX	ERS1098659
AZ0201-C	HiSeqX	ERS1098660
AZ0202-C	HiSeqX	ERS1098661
AZ0203-C	HiSeqX	ERS1098662
AZ0204-C	HiSeqX	ERS1098663
AZ0205-C	HiSeqX	ERS1098664
AZ0206-C	HiSeqX	ERS1098665
AZ0207-C	HiSeqX	ERS1098666
AZ0208-C	HiSeqX	ERS1098667
AZ0209-C	HiSeqX	ERS1106919
AZ0210-C	HiSeqX	ERS1119094
AZ0211-C	HiSeqX	ERS1119095
AZ0213-C	HiSeqX	ERS1119096
AZ0214-C	HiSeqX	ERS1119097
AZ0215-C	HiSeqX	ERS1119098
AZ0216-C	HiSeqX	ERS1119099
AZ0217-C	HiSeqX	ERS1119100
AZ0219-C	HiSeqX	ERS1119101
AZ0220-C	HiSeqX	ERS1119102
AZ0221-C	HiSeqX	ERS1119103
AZ0222-C	HiSeqX	ERS1119104
AZ0223-C	HiSeqX	ERS1119105
AZ0226-C	HiSeqX	ERS1119106
AZ0234-C	HiSeqX	ERS1119107
AZ0235-C	HiSeqX	ERS1119108
AZ0236-C	HiSeqX	ERS1237568
AZ0237-C	HiSeqX	ERS1237569
AZ0238-C	HiSeqX	ERS1237570
AZ0239-C	HiSeqX	ERS1237571
AZ0240-C	HiSeqX	ERS1237572
AZ0241-C	HiSeqX	ERS1237573
AZ0242-C	HiSeqX	ERS1237574
AZ0244-C	HiSeqX	ERS1237575
AZ0245-C	HiSeqX	ERS1237576
AZ0246-C	HiSeqX	ERS1237577
AZ0247-C	HiSeqX	ERS1237578
AZ0251-C	HiSeqX	ERS1237579
AZ0212-CW	HiSeqX	ERS1297461
AZ0225-CW	HiSeqX	ERS1297099
AZ0227-CW	HiSeqX	ERS1297462
AZ0228-CW	HiSeqX	ERS1297100
AZ0230-CW	HiSeqX	ERS1297101
AZ0243-CW	HiSeqX	ERS1297103
AZ0249-CW	HiSeqX	ERS1297104
