derived_sample_id	seq_tech	ebi_sample_acc
BQ0046-C	HiSeqX	ERS1176456
BQ0047-C	HiSeqX	ERS1176457
BQ0049-C	HiSeqX	ERS1176458
BQ0050-C	HiSeqX	ERS1176459
BQ0051-C	HiSeqX	ERS1176460
BQ0052-C	HiSeqX	ERS1176461
BQ0053-C	HiSeqX	ERS1176462
BQ0054-C	HiSeqX	ERS1176463
BQ0055-C	HiSeqX	ERS1176464
BQ0056-C	HiSeqX	ERS1176465
BQ0057-C	HiSeqX	ERS1176466
BQ0058-C	HiSeqX	ERS1176467
BQ0059-C	HiSeqX	ERS1176468
BQ0060-C	HiSeqX	ERS1176469
BQ0062-C	HiSeqX	ERS1176470
BQ0064-C	HiSeqX	ERS1176471
BQ0065-C	HiSeqX	ERS1176472
BQ0066-C	HiSeqX	ERS1176473
BQ0067-C	HiSeqX	ERS1176474
BQ0068-C	HiSeqX	ERS1176475
BQ0069-C	HiSeqX	ERS1176476
BQ0070-C	HiSeqX	ERS1176477
BQ0071-C	HiSeqX	ERS1176478
BQ0072-C	HiSeqX	ERS1196434
BQ0073-C	HiSeqX	ERS1196435
BQ0074-C	HiSeqX	ERS1196436
BQ0075-C	HiSeqX	ERS1196437
BQ0076-C	HiSeqX	ERS1196438
BQ0077-C	HiSeqX	ERS1196439
BQ0078-C	HiSeqX	ERS1196440
BQ0079-C	HiSeqX	ERS1196441
BQ0080-C	HiSeqX	ERS1196442
BQ0081-C	HiSeqX	ERS1196443
BQ0082-C	HiSeqX	ERS1196444
BQ0083-C	HiSeqX	ERS1196445
BQ0084-C	HiSeqX	ERS1196446
BQ0085-C	HiSeqX	ERS1196447
BQ0086-C	HiSeqX	ERS1196448
BQ0087-C	HiSeqX	ERS1196449
BQ0088-C	HiSeqX	ERS1196450
BQ0089-C	HiSeqX	ERS1196451
BQ0090-C	HiSeqX	ERS1196452
BQ0091-C	HiSeqX	ERS1196453
BQ0092-C	HiSeqX	ERS1196454
BQ0093-C	HiSeqX	ERS1196455
BQ0094-C	HiSeqX	ERS1176479
BQ0095-C	HiSeqX	ERS1176480
BQ0096-C	HiSeqX	ERS1176481
BQ0097-C	HiSeqX	ERS1176482
BQ0098-C	HiSeqX	ERS1176483
BQ0099-C	HiSeqX	ERS1176484
BQ0100-C	HiSeqX	ERS1176485
BQ0102-C	HiSeqX	ERS1176486
BQ0103-C	HiSeqX	ERS1176487
BQ0106-C	HiSeqX	ERS1176488
BQ0107-C	HiSeqX	ERS1176489
BQ0108-C	HiSeqX	ERS1176490
BQ0109-C	HiSeqX	ERS1176491
BQ0110-C	HiSeqX	ERS1176492
BQ0111-C	HiSeqX	ERS1237580
BQ0114-C	HiSeqX	ERS1237581
BQ0115-C	HiSeqX	ERS1237582
BQ0116-C	HiSeqX	ERS1237583
BQ0117-C	HiSeqX	ERS1237584
BQ0118-C	HiSeqX	ERS1237585
BQ0119-C	HiSeqX	ERS1237586
BQ0120-C	HiSeqX	ERS1237587
BQ0121-C	HiSeqX	ERS1237588
BQ0122-C	HiSeqX	ERS1237589
BQ0123-C	HiSeqX	ERS1237590
BQ0125-C	HiSeqX	ERS1237591
BQ0126-C	HiSeqX	ERS1237592
BQ0129-C	HiSeqX	ERS1237593
BQ0130-C	HiSeqX	ERS1237594
BQ0048-CW	HiSeqX	ERS1297092
BQ0061-CW	HiSeqX	ERS1297643
BQ0112-CW	HiSeqX	ERS1297095
BQ0127-CW	HiSeqX	ERS1297644
