derived_sample_id	seq_tech	ebi_sample_acc
BL0046-C	HiSeqX	ERS1098416
BL0047-C	HiSeqX	ERS1098417
BL0048-C	HiSeqX	ERS1098418
BL0049-C	HiSeqX	ERS1098419
BL0050-C	HiSeqX	ERS1098420
BL0051-C	HiSeqX	ERS1098421
BL0052-C	HiSeqX	ERS1098422
BL0053-C	HiSeqX	ERS1098423
BL0054-C	HiSeqX	ERS1098424
BL0055-C	HiSeqX	ERS1098425
BL0056-C	HiSeqX	ERS1098426
BL0057-C	HiSeqX	ERS1098427
BL0058-C	HiSeqX	ERS1098428
BL0059-C	HiSeqX	ERS1098429
BL0060-C	HiSeqX	ERS1098430
BL0061-C	HiSeqX	ERS1098431
BL0062-C	HiSeqX	ERS1098432
BL0063-C	HiSeqX	ERS1098433
BL0064-C	HiSeqX	ERS1098434
BL0065-C	HiSeqX	ERS1098435
BL0066-C	HiSeqX	ERS1098436
BL0067-C	HiSeqX	ERS1098438
BL0068-C	HiSeqX	ERS1098440
BL0069-C	HiSeqX	ERS1098442
BL0070-C	HiSeqX	ERS1098445
BL0071-C	HiSeqX	ERS1098447
BL0072-C	HiSeqX	ERS1098449
BL0073-C	HiSeqX	ERS1098452
BL0074-C	HiSeqX	ERS1098454
BL0075-C	HiSeqX	ERS1098457
BL0076-C	HiSeqX	ERS1098459
BL0078-C	HiSeqX	ERS1098462
BL0079-C	HiSeqX	ERS1098464
BL0080-C	HiSeqX	ERS1098466
BL0081-C	HiSeqX	ERS1098468
BL0082-C	HiSeqX	ERS1098470
BL0083-C	HiSeqX	ERS1098473
BL0084-C	HiSeqX	ERS1098475
BL0085-C	HiSeqX	ERS1098478
BL0086-C	HiSeqX	ERS1098480
BL0087-C	HiSeqX	ERS1098483
BL0088-C	HiSeqX	ERS1098484
BL0089-C	HiSeqX	ERS1098486
BL0090-C	HiSeqX	ERS1098489
BL0091-C	HiSeqX	ERS1098491
BL0092-C	HiSeqX	ERS1098494
BL0093-C	HiSeqX	ERS1098496
BL0094-C	HiSeqX	ERS1098498
BL0095-C	HiSeqX	ERS1098500
BL0096-C	HiSeqX	ERS1098503
BL0097-C	HiSeqX	ERS1098505
BL0098-C	HiSeqX	ERS1098507
BL0099-C	HiSeqX	ERS1098509
BL0100-C	HiSeqX	ERS1098512
BL0101-C	HiSeqX	ERS1098514
BL0102-C	HiSeqX	ERS1098516
BL0103-C	HiSeqX	ERS1098518
BL0104-C	HiSeqX	ERS1098521
BL0105-C	HiSeqX	ERS1098523
BL0106-C	HiSeqX	ERS1098525
BL0107-C	HiSeqX	ERS1098527
BL0108-C	HiSeqX	ERS1098529
BL0109-C	HiSeqX	ERS1098531
BL0110-C	HiSeqX	ERS1098534
BL0111-C	HiSeqX	ERS1098536
BL0112-C	HiSeqX	ERS1098538
BL0113-C	HiSeqX	ERS1098540
BL0114-C	HiSeqX	ERS1098542
BL0115-C	HiSeqX	ERS1098545
BL0116-C	HiSeqX	ERS1098547
BL0117-C	HiSeqX	ERS1098549
BL0118-C	HiSeqX	ERS1098551
BL0194-C	HiSeqX	ERS1098526
BL0195-C	HiSeqX	ERS1098528
BL0196-C	HiSeqX	ERS1098530
BL0197-C	HiSeqX	ERS1098532
BL0198-C	HiSeqX	ERS1098533
BL0199-C	HiSeqX	ERS1098535
BL0200-C	HiSeqX	ERS1098537
BL0201-C	HiSeqX	ERS1098539
BL0202-C	HiSeqX	ERS1098541
