description,chrom,cross_id,tpr,fpr,fdr,tnr,youden
phase2,2L,18-5,0.9848159030309486,0.007388429153319949,0.00408272356506676,0.9926115708466801,0.9774274738776287
phase2,2L,29-2,0.9795031508291898,0.011438323415987576,0.005877682835608771,0.9885616765840124,0.9680648274132022
phase2,2L,36-9,0.9849397763720135,0.0031036398417548005,0.0016593807786770645,0.9968963601582452,0.9818361365302586
phase2,2L,37-3,0.9831865603157396,0.0037831713597474875,0.0020394208749693007,0.9962168286402525,0.9794033889559921
phase2,2L,42-4,0.991027889335308,0.0016527853372451864,0.0009122370694352878,0.9983472146627548,0.9893751039980629
phase2,2L,45-1,0.986134101548515,0.0030738435246347898,0.0016499047973543685,0.9969261564753652,0.9830602580238801
phase2,2L,46-9,0.983835906429024,0.0044779557910703885,0.0023372876044726737,0.9955220442089296,0.9793579506379535
phase2,2L,47-6,0.9864809408075764,0.0034002200817780364,0.0018232727606457145,0.996599779918222,0.9830807207257983
phase2,2L,73-2,0.9856005083261857,0.0024546923064677714,0.0013019783767333878,0.9975453076935322,0.983145816019718
phase2,2L,78-2,0.9877369078423105,0.002461725875391632,0.001327522936731771,0.9975382741246084,0.985275181966919
phase2,2L,80-2,0.9860199280191406,0.0041775439802660625,0.0021895209789366335,0.995822456019734,0.9818423840388746
phase2,2L,B5,0.989445701075985,0.001375411742052042,0.0007749857647822629,0.998624588257948,0.9880702893339328
phase2,2L,K2,0.9874107533313766,0.0014001959145619326,0.0007641286813039793,0.998599804085438,0.9860105574168148
phase2,2L,K4,0.9899983790796811,0.0010863915534354545,0.0006068029371395687,0.9989136084465645,0.9889119875262455
phase2,2L,K6,0.989302960626219,0.0012179808069766134,0.0006493639070581118,0.9987820191930233,0.9880849798192424
phase2,2R,18-5,0.9871843999368474,0.01231167166137215,0.004317503016761055,0.9876883283386279,0.9748727282754752
phase2,2R,29-2,0.9873015823899043,0.016290482875991878,0.005722206179908089,0.9837095171240081,0.9710110995139125
phase2,2R,36-9,0.9877672468514666,0.004398184033386062,0.0016292943257196699,0.9956018159666139,0.9833690628180805
phase2,2R,37-3,0.9892212943735492,0.0052085937545863666,0.0019689256145055357,0.9947914062454136,0.9840127006189627
phase2,2R,42-4,0.9925240634650093,0.002543684331679091,0.0009506118585988176,0.9974563156683209,0.9899803791333301
phase2,2R,45-1,0.990687619552198,0.004224266973284611,0.0015545596151921074,0.9957757330267154,0.9864633525789133
phase2,2R,46-9,0.9875072165100054,0.006123470169356934,0.0022238010252711485,0.9938765298306431,0.9813837463406485
phase2,2R,47-6,0.990386567281919,0.005545600446709892,0.002043372739372113,0.9944543995532901,0.9848409668352089
phase2,2R,73-2,0.989832650631494,0.003334749842839991,0.0012193378214637022,0.99666525015716,0.9864979007886538
phase2,2R,78-2,0.9917114602788454,0.003378436612409706,0.0012492491604364404,0.9966215633875903,0.9883330236664358
phase2,2R,80-2,0.9910635957057632,0.006373768176793497,0.002342486743422342,0.9936262318232065,0.9846898275289697
phase2,2R,B5,0.9917102464230502,0.0019325022334191523,0.0007114885683415657,0.9980674977665809,0.9897777441896309
phase2,2R,K2,0.9912040654241738,0.0016927570167033455,0.0006374195737841845,0.9983072429832966,0.9895113084074705
phase2,2R,K4,0.99233525131179,0.0014505816157910259,0.0005375474743288568,0.998549418384209,0.990884669695999
phase2,2R,K6,0.9921506685538142,0.001358216083019514,0.0005038496464902416,0.9986417839169804,0.9907924524707945
phase2,3L,18-5,0.9844068087336317,0.010093901569112431,0.004308331782248035,0.9899060984308876,0.9743129071645193
phase2,3L,29-2,0.9836245074790884,0.013264057719924501,0.005680590675131311,0.9867359422800756,0.970360449759164
phase2,3L,36-9,0.9849244328141328,0.0037833569011207118,0.001683879331810018,0.9962166430988793,0.9811410759130119
phase2,3L,37-3,0.9852373040946961,0.004333998330811699,0.001963609607362602,0.9956660016691883,0.9809033057638845
phase2,3L,42-4,0.9898934468561135,0.002158586512676066,0.00098207591231401,0.9978414134873239,0.9877348603434375
phase2,3L,45-1,0.9878078141683603,0.003418262581897295,0.001519483197031132,0.9965817374181027,0.9843895515864629
phase2,3L,46-9,0.983446122098275,0.005294818916821511,0.0023081431192069173,0.9947051810831785,0.9781513031814535
phase2,3L,47-6,0.9876737702169271,0.003776326209254741,0.001667710105739427,0.9962236737907453,0.9838974440076724
phase2,3L,73-2,0.9878894026395796,0.0028481882511544004,0.0012502269143660047,0.9971518117488456,0.9850412143884251
phase2,3L,78-2,0.9896715414592566,0.0027270078982904347,0.0012204403696731217,0.9972729921017096,0.9869445335609663
phase2,3L,80-2,0.9884192847735609,0.004727732829739316,0.0021039296039389,0.9952722671702607,0.9836915519438216
phase2,3L,B5,0.9886074921935212,0.001935071574873153,0.0008664888093603616,0.9980649284251268,0.9866724206186479
phase2,3L,K2,0.9874159784488273,0.0019265957204170736,0.0008648112739890943,0.9980734042795829,0.9854893827284101
phase2,3L,K4,0.9898108393216688,0.0013901657999397933,0.0006354032113516856,0.9986098342000602,0.9884206735217291
phase2,3L,K6,0.9896462414095728,0.0012860450944546008,0.000586683746769681,0.9987139549055454,0.9883601963151181
phase2,3R,18-5,0.9839211471478764,0.010644847271430778,0.0044085674441273455,0.9893551527285692,0.9732762998764457
phase2,3R,29-2,0.9822273539338381,0.014082072774707164,0.005809045507483908,0.9859179272252928,0.9681452811591309
phase2,3R,36-9,0.9845272385582895,0.004102620066921685,0.0017483530803481628,0.9958973799330784,0.9804246184913679
phase2,3R,37-3,0.9853523181401134,0.00453989601527333,0.0020017088183062292,0.9954601039847266,0.98081242212484
phase2,3R,42-4,0.9892938183193543,0.0022896122206465274,0.0010035162081343785,0.9977103877793535,0.9870042060987076
phase2,3R,45-1,0.987417932150938,0.003716051535748316,0.0015981083255147634,0.9962839484642517,0.9837018806151896
phase2,3R,46-9,0.9832203057591973,0.005467601479738455,0.0023019153328479743,0.9945323985202615,0.9777527042794589
phase2,3R,47-6,0.9868622430467048,0.004286716305560079,0.0018388265696956728,0.9957132836944399,0.9825755267411447
phase2,3R,73-2,0.9868900216037105,0.003024179763250426,0.0012932171822578043,0.9969758202367496,0.9838658418404602
phase2,3R,78-2,0.9887892217250989,0.002996191343176711,0.0012944549356041703,0.9970038086568233,0.985793030381922
phase2,3R,80-2,0.9871204818713772,0.005186474653009825,0.002229894308165007,0.9948135253469902,0.9819340072183675
phase2,3R,B5,0.9870597522013832,0.0020802002775197064,0.0008925871265094172,0.9979197997224802,0.9849795519238635
phase2,3R,K2,0.9859090639439967,0.002034706747225987,0.0008823738003411812,0.997965293252774,0.9838743571967707
phase2,3R,K4,0.98749826704038,0.0015923754525418799,0.0006898333548637127,0.9984076245474581,0.985905891587838
phase2,3R,K6,0.9876112761561194,0.0015122446448896717,0.0006537999052861871,0.9984877553551104,0.9860990315112299
phase3,2L,18-5,0.9880744928749269,0.014811415745421745,0.0031619393985872143,0.9851885842545782,0.9732630771295052
phase3,2L,29-2,0.9840750157407977,0.0258766779806134,0.004743842882995402,0.9741233220193866,0.9581983377601841
phase3,2L,36-9,0.9877465736640808,0.004163569025626403,0.0008228004845790597,0.9958364309743736,0.9835830046384544
phase3,2L,37-3,0.98635360223656,0.0054565604593541156,0.0010934041081549274,0.9945434395406458,0.9808970417772058
phase3,2L,42-4,0.9926015184391108,0.0015787892187801387,0.0003362483708428284,0.9984212107812198,0.9910227292203306
phase3,2L,45-1,0.988641410635724,0.003880029042015977,0.0007734336472990487,0.996119970957984,0.984761381593708
phase3,2L,46-9,0.9868326747560004,0.006926717226850064,0.0012969366482854221,0.99307328277315,0.9799059575291504
phase3,2L,47-6,0.9889213486001096,0.004613837693842193,0.0009188636593575354,0.9953861623061578,0.9843075109062673
phase3,2L,73-2,0.9882606584829475,0.0027726807617748264,0.0005382638217452158,0.9972273192382252,0.9854879777211727
phase3,2L,78-2,0.9898796783091982,0.002516535112745262,0.0005078165072910757,0.9974834648872547,0.9873631431964529
phase3,2L,80-2,0.9885498130965216,0.006295312140226287,0.0011941174574150721,0.9937046878597737,0.9822545009562953
phase3,2L,B5,0.991714107182331,0.0026325351141451166,0.0005832032322861668,0.9973674648858549,0.9890815720681858
phase3,2L,K2,0.9901122188447018,0.0027322581420320636,0.0005660579788359931,0.997267741857968,0.9873799607026696
phase3,2L,K4,0.9921013737808135,0.0018574644498121386,0.0004040536930778837,0.9981425355501878,0.9902439093310014
phase3,2L,K6,0.9915347917635866,0.0020932613153112423,0.00041292921663047243,0.9979067386846887,0.9894415304482753
phase3,2R,18-5,0.9880267884413804,0.016318602420536153,0.0032281599733012052,0.9836813975794638,0.9717081860208441
phase3,2R,29-2,0.9881038075009118,0.022387355519128273,0.004457413397807593,0.9776126444808717,0.9657164519817836
phase3,2R,36-9,0.9884604810565728,0.003490821521376082,0.0007482746703524396,0.996509178478624,0.9849696595351967
phase3,2R,37-3,0.9896879270717068,0.004470339415983816,0.0009905684651296378,0.9955296605840162,0.985217587655723
phase3,2R,42-4,0.9928281681087052,0.00140255409220794,0.00030740274288534446,0.9985974459077921,0.9914256140164972
phase3,2R,45-1,0.9910108792306279,0.0030428543643758084,0.0006486921321769436,0.9969571456356242,0.9879680248662521
phase3,2R,46-9,0.9880912261758793,0.005467928336107764,0.001138444509525463,0.9945320716638922,0.9826232978397715
phase3,2R,47-6,0.9907390685349491,0.0050485618777577285,0.001078928420385386,0.9949514381222423,0.9856905066571913
phase3,2R,73-2,0.9903468856216117,0.0020953356184887973,0.00044061731318296586,0.9979046643815112,0.9882515500031228
phase3,2R,78-2,0.9919410169418577,0.0018598544937366665,0.0003994506568762999,0.9981401455062633,0.9900811624481209
phase3,2R,80-2,0.9912807935151684,0.00603879466155392,0.001287566442382822,0.9939612053384461,0.9852419988536145
phase3,2R,B5,0.992523931542049,0.0024332534673072235,0.0005233586918849917,0.9975667465326927,0.9900906780747416
phase3,2R,K2,0.9920414075459407,0.0018950487895975394,0.00042043318881932986,0.9981049512104024,0.990146358756343
phase3,2R,K4,0.9930269489542403,0.001437502071912542,0.0003112056163535223,0.9985624979280875,0.9915894468823279
phase3,2R,K6,0.9928795253973232,0.0013647118003628769,0.0002952915129859672,0.9986352881996371,0.9915148135969603
phase3,3L,18-5,0.9859847066083774,0.013730372357631892,0.003250751805739018,0.9862696276423681,0.9722543342507457
phase3,3L,29-2,0.9852907968938142,0.018593530322184283,0.00442428010568485,0.9814064696778158,0.96669726657163
phase3,3L,36-9,0.9862655150087476,0.0031525710534579007,0.0007928597873929473,0.9968474289465421,0.9831129439552897
phase3,3L,37-3,0.9865208532327114,0.003933888301142449,0.0010157203174457274,0.9960661116988575,0.9825869649315688
phase3,3L,42-4,0.9907427239389721,0.0013640101387162682,0.00035551069435391195,0.9986359898612838,0.9893787138002559
phase3,3L,45-1,0.9887539560404631,0.002555295938552596,0.0006436538438606324,0.9974447040614474,0.9861986601019104
phase3,3L,46-9,0.9849000050793619,0.005109094448232973,0.001240517001030238,0.9948909055517671,0.9797909106311291
phase3,3L,47-6,0.9886657574124637,0.0032025528060070463,0.0007976154992548435,0.996797447193993,0.9854632046064566
phase3,3L,73-2,0.9889036668384305,0.001985087435097589,0.0004904865835193492,0.9980149125649024,0.9869185794033328
phase3,3L,78-2,0.9903865489536064,0.0015830949547613498,0.00040388770504649863,0.9984169050452386,0.9888034539988451
phase3,3L,80-2,0.9892307812504069,0.0043381909020906466,0.0010939659991159912,0.9956618090979094,0.9848925903483163
phase3,3L,B5,0.9900220363738997,0.002587256025420028,0.0006590040910729833,0.99741274397458,0.9874347803484798
phase3,3L,K2,0.9889437617365071,0.0023985585312525054,0.0006128343069365878,0.9976014414687475,0.9865452032052546
phase3,3L,K4,0.990989691812127,0.0014475014961161,0.0003804164166456035,0.998552498503884,0.9895421903160111
