description,chrom,cross_id,FN,FP,TN,TP
phase2,2L,18-5,15317681,114016,428818,27812440
phase2,2L,29-2,14162876,163874,579996,27716841
phase2,2L,36-9,14892225,46364,426516,27894179
phase2,2L,37-3,14991818,56932,476413,27858836
phase2,2L,42-4,15420518,25529,253127,27959521
phase2,2L,45-1,14951086,46099,392218,27894301
phase2,2L,46-9,14497683,65212,457328,27835505
phase2,2L,47-6,14929857,50938,382169,27886736
phase2,2L,73-2,14788685,36391,407822,27914150
phase2,2L,78-2,15034438,37102,346527,27911191
phase2,2L,80-2,14582835,61176,395279,27879182
phase2,2L,B5,15719091,21650,297759,27914347
phase2,2L,K2,15217958,21338,355760,27903278
phase2,2L,K4,15586079,16951,282046,27917983
phase2,2L,K6,14866342,18129,301674,27899961
phase2,2R,18-5,13561823,169050,506109,38985526
phase2,2R,29-2,13527809,224024,500655,38925911
phase2,2R,36-9,14456448,63863,484631,39132861
phase2,2R,37-3,14742549,77190,426333,39126932
phase2,2R,42-4,14628822,37306,295316,39206892
phase2,2R,45-1,14368296,60953,367990,39148222
phase2,2R,46-9,14137997,87107,494435,39083214
phase2,2R,47-6,14368624,80127,379854,39132983
phase2,2R,73-2,14287902,47806,402230,39158720
phase2,2R,78-2,14454455,48999,327407,39173761
phase2,2R,80-2,14331405,91931,353043,39153115
phase2,2R,B5,14412956,27907,327637,39195492
phase2,2R,K2,14741447,24996,347766,39189363
phase2,2R,K4,14511022,21080,302733,39194061
phase2,2R,K6,14522853,19752,309989,39182419
phase2,3L,18-5,10432951,106383,389447,24586005
phase2,3L,29-2,10431652,140226,408626,24544883
phase2,3L,36-9,10962089,41631,377785,24681637
phase2,3L,37-3,11154496,48554,369778,24678357
phase2,3L,42-4,11233529,24301,252387,24720222
phase2,3L,45-1,10958350,37587,304853,24699113
phase2,3L,46-9,10709180,57005,414759,24640337
phase2,3L,47-6,10881801,41249,308166,24692666
phase2,3L,73-2,10828605,30930,302904,24708579
phase2,3L,78-2,11043843,30199,257923,24714148
phase2,3L,80-2,10958929,52057,289286,24690691
phase2,3L,B5,11043296,21411,284507,24688660
phase2,3L,K2,11071252,21371,314664,24690379
phase2,3L,K4,11288692,15715,254434,24716612
phase2,3L,K6,11267366,14509,258581,24716021
phase2,3R,18-5,13150294,141489,522157,31952610
phase2,3R,29-2,13046087,186340,577047,31891219
phase2,3R,36-9,13633867,56165,503984,32068353
phase2,3R,37-3,14110422,64352,476945,32084180
phase2,3R,42-4,14066613,32281,347773,32135610
phase2,3R,45-1,13773515,51374,408972,32095383
phase2,3R,46-9,13442809,73904,546652,32031534
phase2,3R,47-6,13733019,59123,427249,32093447
phase2,3R,73-2,13706284,41576,426523,32107703
phase2,3R,78-2,13854340,41635,364201,32122482
phase2,3R,80-2,13755980,71717,418695,32089897
phase2,3R,B5,13749819,28662,420598,32082489
phase2,3R,K2,13900938,28342,458667,32091832
phase2,3R,K4,13894783,22161,406424,32102989
phase2,3R,K6,13865642,21000,402653,32098919
phase3,2L,18-5,7514388,112972,429862,35615733
phase3,2L,29-2,6371351,169249,574621,35508366
phase3,2L,36-9,7040460,29436,443444,35745944
phase3,2L,37-3,7127133,39103,494242,35723521
phase3,2L,42-4,7608998,12032,266624,35771041
phase3,2L,45-1,7102693,27666,410651,35742694
phase3,2L,46-9,6644558,46346,476194,35688630
phase3,2L,47-6,7088978,32859,400248,35727615
phase3,2L,73-2,6929244,19266,424947,35773591
phase3,2L,78-2,7198904,18162,365467,35746725
phase3,2L,80-2,6741072,42706,413749,35720945
phase3,2L,B5,7900030,20852,298557,35733408
phase3,2L,K2,7387187,20239,356859,35734049
phase3,2L,K4,7763360,14447,284550,35740702
phase3,2L,K6,7036438,14760,305043,35729865
phase3,2R,18-5,8582873,142384,532775,43964476
phase3,2R,29-2,8578418,196446,528233,43875302
phase3,2R,36-9,9438061,33062,515432,44151248
phase3,2R,37-3,9743647,43753,459770,44125834
