derived_sample_id	seq_tech	ebi_sample_acc
AB0326-C	HiSeqX	ERS1196456
AB0327-C	HiSeqX	ERS1196457
AB0328-C	HiSeqX	ERS1196458
AB0329-C	HiSeqX	ERS1196459
AB0330-C	HiSeqX	ERS1196460
AB0331-C	HiSeqX	ERS1196461
AB0332-C	HiSeqX	ERS1196462
AB0333-C	HiSeqX	ERS1196463
AB0334-C	HiSeqX	ERS1196464
AB0337-C	HiSeqX	ERS1196465
AB0338-C	HiSeqX	ERS1196466
AB0339-C	HiSeqX	ERS1196467
AB0340-C	HiSeqX	ERS1196468
AB0341-C	HiSeqX	ERS1196469
AB0348-C	HiSeqX	ERS1196470
AB0349-C	HiSeqX	ERS1196471
AB0351-C	HiSeqX	ERS1196472
AB0352-C	HiSeqX	ERS1196473
AB0354-C	HiSeqX	ERS1196474
AB0355-C	HiSeqX	ERS1196475
AB0356-C	HiSeqX	ERS1196476
AB0357-C	HiSeqX	ERS1196477
AB0358-C	HiSeqX	ERS1196478
AB0359-C	HiSeqX	ERS1196479
AB0360-C	HiSeqX	ERS1196480
AB0361-C	HiSeqX	ERS1196481
AB0362-C	HiSeqX	ERS1196482
AB0363-C	HiSeqX	ERS1196483
AB0364-C	HiSeqX	ERS1196484
AB0365-C	HiSeqX	ERS1196485
AB0366-C	HiSeqX	ERS1196486
AB0367-C	HiSeqX	ERS1196487
AB0368-C	HiSeqX	ERS1196488
AB0369-C	HiSeqX	ERS1196489
AB0370-C	HiSeqX	ERS1196490
AB0371-C	HiSeqX	ERS1196491
AB0372-C	HiSeqX	ERS1196492
AB0373-C	HiSeqX	ERS1196493
AB0374-C	HiSeqX	ERS1196494
AB0375-C	HiSeqX	ERS1196495
AB0378-C	HiSeqX	ERS1196496
AB0379-C	HiSeqX	ERS1196497
AB0381-C	HiSeqX	ERS1196498
AB0386-C	HiSeqX	ERS1196499
AB0388-C	HiSeqX	ERS1196500
AB0389-C	HiSeqX	ERS1196501
AB0396-C	HiSeqX	ERS1196502
AB0397-C	HiSeqX	ERS1196503
AB0398-C	HiSeqX	ERS1196504
AB0399-C	HiSeqX	ERS1196505
AB0400-C	HiSeqX	ERS1196506
AB0403-C	HiSeqX	ERS1196507
AB0404-C	HiSeqX	ERS1196508
AB0405-C	HiSeqX	ERS1196509
AB0409-C	HiSeqX	ERS1196510
AB0410-C	HiSeqX	ERS1196511
AB0411-C	HiSeqX	ERS1196512
AB0413-C	HiSeqX	ERS1196513
AB0432-C	HiSeqX	ERS1196514
AB0433-C	HiSeqX	ERS1196515
AB0435-C	HiSeqX	ERS1196516
AB0436-C	HiSeqX	ERS1196517
AB0439-C	HiSeqX	ERS1196518
AB0440-C	HiSeqX	ERS1196519
AB0457-C	HiSeqX	ERS1196520
AB0458-C	HiSeqX	ERS1196521
AB0459-C	HiSeqX	ERS1196522
AB0460-C	HiSeqX	ERS1196523
AB0462-C	HiSeqX	ERS1196524
AB0463-C	HiSeqX	ERS1196525
AB0465-C	HiSeqX	ERS1196526
AB0466-C	HiSeqX	ERS1196527
AB0467-C	HiSeqX	ERS1196528
AB0468-C	HiSeqX	ERS1196529
AB0469-C	HiSeqX	ERS1196530
AB0470-C	HiSeqX	ERS1196531
AB0471-C	HiSeqX	ERS1196532
AB0472-C	HiSeqX	ERS1196533
AB0473-C	HiSeqX	ERS1196534
AB0474-C	HiSeqX	ERS1196535
AB0477-C	HiSeqX	ERS1196536
AB0502-C	HiSeqX	ERS1196537
AB0503-C	HiSeqX	ERS1196538
AB0504-C	HiSeqX	ERS1196539
AB0505-C	HiSeqX	ERS1196540
AB0508-C	HiSeqX	ERS1196541
AB0509-C	HiSeqX	ERS1196542
AB0510-C	HiSeqX	ERS1196543
AB0517-C	HiSeqX	ERS1196544
AB0523-C	HiSeqX	ERS1196545
AB0524-C	HiSeqX	ERS1196546
AB0525-C	HiSeqX	ERS1196547
AB0526-C	HiSeqX	ERS1196548
AB0527-C	HiSeqX	ERS1196549
AB0528-C	HiSeqX	ERS1230334
AB0529-C	HiSeqX	ERS1196551
AB0530-C	HiSeqX	ERS1196552
AB0531-C	HiSeqX	ERS1196553
AB0532-C	HiSeqX	ERS1196554
AB0533-C	HiSeqX	ERS1196555
AB0536-C	HiSeqX	ERS1196556
AB0537-C	HiSeqX	ERS1196557
AB0538-C	HiSeqX	ERS1196558
AB0408-C	HiSeqX	ERS1237595
