derived_sample_id	seq_tech	ebi_sample_acc
BK0001-C	HiSeqX	ERS1076383
BK0002-C	HiSeqX	ERS1076384
BK0003-C	HiSeqX	ERS1076385
BK0005-C	HiSeqX	ERS1076386
BK0006-C	HiSeqX	ERS1076387
BK0007-C	HiSeqX	ERS1076388
BK0008-C	HiSeqX	ERS1076389
BK0009-C	HiSeqX	ERS1076390
BK0010-C	HiSeqX	ERS1076391
BK0011-C	HiSeqX	ERS1076392
BK0012-CW	HiSeqX	ERS1297275
BK0013-C	HiSeqX	ERS1076393
BK0014-C	HiSeqX	ERS1076394
BK0015-C	HiSeqX	ERS1076395
BK0016-C	HiSeqX	ERS1076396
BK0017-C	HiSeqX	ERS1076397
BK0018-C	HiSeqX	ERS1076398
BK0019-C	HiSeqX	ERS1076399
BK0021-C	HiSeqX	ERS1076400
BK0022-C	HiSeqX	ERS1076401
BK0023-C	HiSeqX	ERS1076402
BK0024-C	HiSeqX	ERS1076403
BK0025-C	HiSeqX	ERS1076404
BK0026-C	HiSeqX	ERS1076405
BK0027-C	HiSeqX	ERS1076406
BK0028-CW	HiSeqX	ERS1297276
BK0029-C	HiSeqX	ERS1076407
BK0030-C	HiSeqX	ERS1076408
BK0031-C	HiSeqX	ERS1076409
BK0032-C	HiSeqX	ERS1076410
BK0033-C	HiSeqX	ERS1076411
BK0034-C	HiSeqX	ERS1076412
BK0035-C	HiSeqX	ERS1076413
BK0037-C	HiSeqX	ERS1076414
BK0038-C	HiSeqX	ERS1076415
BK0039-C	HiSeqX	ERS1076416
BK0040-C	HiSeqX	ERS1076417
BK0041-C	HiSeqX	ERS1076418
BK0042-C	HiSeqX	ERS1076419
BK0043-C	HiSeqX	ERS1076420
BK0045-C	HiSeqX	ERS1076421
BK0046-C	HiSeqX	ERS1076422
BK0047-C	HiSeqX	ERS1076423
BK0048-C	HiSeqX	ERS1076424
BK0049-C	HiSeqX	ERS1076425
BK0050-C	HiSeqX	ERS1076426
BK0051-C	HiSeqX	ERS1076427
BK0052-CW	HiSeqX	ERS1297551
BK0053-C	HiSeqX	ERS1076428
BK0054-C	HiSeqX	ERS1076429
BK0055-C	HiSeqX	ERS1076430
BK0056-C	HiSeqX	ERS1076431
BK0057-C	HiSeqX	ERS1076432
BK0058-C	HiSeqX	ERS1076433
BK0059-C	HiSeqX	ERS1076434
BK0061-C	HiSeqX	ERS1076435
BK0062-C	HiSeqX	ERS1076436
BK0063-C	HiSeqX	ERS1076437
BK0064-C	HiSeqX	ERS1076438
BK0065-C	HiSeqX	ERS1076439
BK0066-C	HiSeqX	ERS1076440
BK0067-C	HiSeqX	ERS1076441
BK0069-C	HiSeqX	ERS1076442
BK0070-C	HiSeqX	ERS1076443
BK0071-C	HiSeqX	ERS1076444
BK0072-C	HiSeqX	ERS1076445
BK0074-C	HiSeqX	ERS1076446
BK0077-C	HiSeqX	ERS1076447
BK0078-C	HiSeqX	ERS1076448
BK0079-CW	HiSeqX	ERS1297690
BK0080-C	HiSeqX	ERS1076449
BK0081-C	HiSeqX	ERS1076450
BK0082-C	HiSeqX	ERS1076451
BK0083-C	HiSeqX	ERS1076452
BK0085-C	HiSeqX	ERS1076453
BK0086-C	HiSeqX	ERS1076454
BK0093-CW	HiSeqX	ERS1297691
BK0094-CW	HiSeqX	ERS1297285
