derived_sample_id	seq_tech	ebi_sample_acc
AP0007-C	HiSeq	ERS156390
AP0021-C	HiSeq	ERS156393
AP0019-C	HiSeq	ERS156396
AP0020-C	HiSeq	ERS156400
AP0018-C	HiSeq	ERS156401
AP0009-C	HiSeq	ERS156402
AP0024-C	HiSeq	ERS156403
AP0002-C	HiSeq	ERS156409
AP0034-C	HiSeq	ERS156410
AP0035-C	HiSeq	ERS156414
AP0031-C	HiSeq	ERS156415
AP0008-C	HiSeq	ERS156417
AP0011-C	HiSeq	ERS156420
AP0032-C	HiSeq	ERS156421
AP0010-C	HiSeq	ERS156422
AP0025-C	HiSeq	ERS156424
AP0028-Cx	HiSeq	ERS172659
AP0029-Cx	HiSeq	ERS172680
AP0022-C	HiSeq	ERS224262
AP0006-C	HiSeq	ERS224271
AP0030-C	HiSeq	ERS224278
AP0023-C	HiSeq	ERS224291
AP0033-C	HiSeq	ERS224324
AP0005-C	HiSeq	ERS224326
AP0017-C	HiSeq	ERS224242
AP0014-C	HiSeq	ERS224642
AP0013-C	HiSeq	ERS224663
AP0036-C	HiSeq	ERS387179
AP0037-C	HiSeq	ERS387183
AP0038-C	HiSeq	ERS387187
AP0039-C	HiSeq	ERS387191
AP0040-C	HiSeq	ERS387194
AP0041-C	HiSeq	ERS387198
AP0042-C	HiSeq	ERS387202
AP0043-C	HiSeq	ERS387205
AP0044-C	HiSeq	ERS387209
AP0045-C	HiSeq	ERS387213
AP0046-C	HiSeq	ERS387217
AP0047-C	HiSeq	ERS387221
AP0048-C	HiSeq	ERS387180
AP0049-C	HiSeq	ERS387184
AP0050-C	HiSeq	ERS387188
AP0052-C	HiSeq	ERS387195
AP0053-C	HiSeq	ERS387199
AP0054-C	HiSeq	ERS387203
AP0055-C	HiSeq	ERS387206
AP0056-C	HiSeq	ERS387210
AP0057-C	HiSeq	ERS387214
AP0058-C	HiSeq	ERS387218
AP0059-C	HiSeq	ERS387222
AP0060-C	HiSeq	ERS387181
AP0061-C	HiSeq	ERS387185
AP0062-C	HiSeq	ERS387189
AP0063-C	HiSeq	ERS387192
AP0064-C	HiSeq	ERS387196
AP0014-Cx	HiSeq	ERS224642
AP0013-Cx	HiSeq	ERS224663
AP0017-Cx	HiSeq	ERS224242
