derived_sample_id	seq_tech	ebi_sample_acc
AS0001-C	HiSeq	ERS224200
AS0002-C	HiSeq	ERS224188
AS0002-Cx	HiSeq	ERS224188
AS0003-C	HiSeq	ERS224107
AS0004-C	HiSeq	ERS224239
AS0005-C	HiSeq	ERS224831
AS0006-C	HiSeq	ERS224249
AS0006-Cx	HiSeq	ERS224249
AS0007-C	HiSeq	ERS224184
AS0008-C	HiSeq	ERS224649
AS0008-Cx	HiSeq	ERS224649
AS0009-C	HiSeq	ERS224276
AS0010-C	HiSeq	ERS224207
AS0011-C	HiSeq	ERS224252
AS0011-Cx	HiSeq	ERS224252
AS0012-C	HiSeq	ERS224187
AS0012-Cx	HiSeq	ERS224187
AS0013-C	HiSeq	ERS224179
AS0014-C	HiSeq	ERS224307
AS0014-Cx	HiSeq	ERS224307
AS0015-C	HiSeq	ERS224829
AS0015-Cx	HiSeq	ERS224829
AS0016-C	HiSeq	ERS224258
AS0016-Cx	HiSeq	ERS224258
AS0017-C	HiSeq	ERS224263
AS0018-C	HiSeq	ERS224279
AS0018-Cx	HiSeq	ERS224279
AS0019-C	HiSeq	ERS224328
AS0019-Cx	HiSeq	ERS224328
AS0020-C	HiSeq	ERS224226
AS0021-C	HiSeq	ERS224220
AS0022-C	HiSeq	ERS224266
AS0022-Cx	HiSeq	ERS224266
AS0023-C	HiSeq	ERS224173
AS0023-Cx	HiSeq	ERS224173
AS0024-C	HiSeq	ERS224822
AS0024-Cx	HiSeq	ERS224822
AS0025-C	HiSeq	ERS224309
AS0026-C	HiSeq	ERS224827
AS0027-C	HiSeq	ERS224287
AS0027-Cx	HiSeq	ERS224287
AS0028-C	HiSeq	ERS224193
AS0029-C	HiSeq	ERS224832
AS0030-C	HiSeq	ERS224635
AS0030-Cx	HiSeq	ERS224635
AS0031-C	HiSeq	ERS224216
AS0031-Cx	HiSeq	ERS224216
AS0032-C	HiSeq	ERS224264
AS0033-C	HiSeq	ERS224281
AS0034-C	HiSeq	ERS224103
AS0035-C	HiSeq	ERS224273
AS0035-Cx	HiSeq	ERS224273
AS0036-C	HiSeq	ERS224233
AS0037-C	HiSeq	ERS224311
AS0039-C	HiSeq	ERS224199
AS0040-C	HiSeq	ERS224830
AS0041-C	HiSeq	ERS224833
AS0042-C	HiSeq	ERS254323
AS0044-C	HiSeq	ERS224815
AS0044-Cx	HiSeq	ERS224815
AS0045-C	HiSeq	ERS224243
AS0045-Cx	HiSeq	ERS224243
AS0046-C	HiSeq	ERS224818
AS0047-C	HiSeq	ERS224303
AS0048-C	HiSeq	ERS224823
AS0049-C	HiSeq	ERS224826
AS0049-Cx	HiSeq	ERS224826
AS0050-C	HiSeq	ERS254318
AS0051-C	HiSeq	ERS224222
AS0051-Cx	HiSeq	ERS224222
AS0052-C	HiSeq	ERS254324
AS0053-C	HiSeq	ERS224274
AS0054-C	HiSeq	ERS224265
AS0054-Cx	HiSeq	ERS224265
AS0055-C	HiSeq	ERS224253
AS0056-C	HiSeq	ERS224305
AS0057-C	HiSeq	ERS224816
AS0058-C	HiSeq	ERS224819
AS0058-Cx	HiSeq	ERS224819
AS0059-C	HiSeq	ERS224288
AS0060-C	HiSeq	ERS224824
AS0061-C	HiSeq	ERS254272
AS0062-C	HiSeq	ERS224828
AS0063-C	HiSeq	ERS254341
AS0064-C	HiSeq	ERS224241
AS0065-C	HiSeq	ERS224302
AS0066-C	HiSeq	ERS224260
AS0068-C	HiSeq	ERS224315
AS0069-C	HiSeq	ERS224293
AS0069-Cx	HiSeq	ERS224293
AS0070-C	HiSeq	ERS224214
AS0071-C	HiSeq	ERS224820
AS0071-Cx	HiSeq	ERS224820
AS0072-C	HiSeq	ERS224825
AS0072-Cx	HiSeq	ERS224825
AS0073-C	HiSeq	ERS224310
AS0074-C	HiSeq	ERS224250
AS0074-Cx	HiSeq	ERS224250
AS0075-C	HiSeq	ERS254326
AS0076-C	HiSeq	ERS224275
AS0077-C	HiSeq	ERS224320
AS0078-C	HiSeq	ERS224834
