derived_sample_id	seq_tech	ebi_sample_acc
AS0112-CW	HiSeqX	ERS1297141
AS0135-CW	HiSeqX	ERS1297658
AS0145-CW	HiSeqX	ERS1297491
AS0154-CW	HiSeqX	ERS1297162
AS0163-CW	HiSeqX	ERS1297846
AS0113-CW	HiSeqX	ERS1297483
AS0136-CW	HiSeqX	ERS1297153
AS0146-CW	HiSeqX	ERS1297158
AS0155-CW	HiSeqX	ERS1298094
AS0164-CW	HiSeqX	ERS1297167
AS0137-CW	HiSeqX	ERS1297489
AS0147-CW	HiSeqX	ERS1297845
AS0165-CW	HiSeqX	ERS1297496
AS0119-CW	HiSeqX	ERS1297656
AS0138-CW	HiSeqX	ERS1297154
AS0148-CW	HiSeqX	ERS1297159
AS0158-CW	HiSeqX	ERS1297164
AS0166-CW	HiSeqX	ERS1297168
AS0120-CW	HiSeqX	ERS1297145
AS0150-CW	HiSeqX	ERS1297160
AS0159-CW	HiSeqX	ERS1297661
AS0121-CW	HiSeqX	ERS1297485
AS0151-CW	HiSeqX	ERS1297660
AS0127-CW	HiSeqX	ERS1297657
AS0143-CW	HiSeqX	ERS1297659
AS0152-CW	HiSeqX	ERS1297161
AS0161-CW	HiSeqX	ERS1297495
AS0130-CW	HiSeqX	ERS1297150
AS0144-CW	HiSeqX	ERS1297157
AS0153-CW	HiSeqX	ERS1297493
AS0162-CW	HiSeqX	ERS1297166
AS0174-CW	HiSeqX	ERS1297172
AS0185-CW	HiSeqX	ERS1297501
AS0200-CW	HiSeqX	ERS1297185
AS0175-CW	HiSeqX	ERS1297663
AS0186-CW	HiSeqX	ERS1297178
AS0204-CW	HiSeqX	ERS1297187
AS0176-CW	HiSeqX	ERS1297173
AS0188-CW	HiSeqX	ERS1297179
AS0205-CW	HiSeqX	ERS1297506
AS0177-CW	HiSeqX	ERS1297499
AS0190-CW	HiSeqX	ERS1297180
AS0206-CW	HiSeqX	ERS1297188
AS0168-CW	HiSeqX	ERS1297169
AS0192-CW	HiSeqX	ERS1297181
AS0209-CW	HiSeqX	ERS1297507
AS0170-CW	HiSeqX	ERS1297170
AS0181-CW	HiSeqX	ERS1297500
AS0194-CW	HiSeqX	ERS1297182
AS0210-CW	HiSeqX	ERS1297190
AS0172-CW	HiSeqX	ERS1297171
AS0182-CW	HiSeqX	ERS1297176
AS0198-CW	HiSeqX	ERS1297184
AS0215-CW	HiSeqX	ERS1297668
AS0173-CW	HiSeqX	ERS1297498
AS0183-CW	HiSeqX	ERS1297664
AS0199-CW	HiSeqX	ERS1297666
AS0216-CW	HiSeqX	ERS1297193
AS0095-CW	HiSeqX	ERS1297653
AS0096-CW	HiSeqX	ERS1297133
AS0081-CW	HiSeqX	ERS1297475
AS0097-CW	HiSeqX	ERS1297479
AS0083-CW	HiSeqX	ERS1297841
AS0098-CW	HiSeqX	ERS1297134
AS0088-CW	HiSeqX	ERS1297129
AS0100-CW	HiSeqX	ERS1297135
AS0089-CW	HiSeqX	ERS1297477
AS0105-CW	HiSeqX	ERS1297481
AS0090-CW	HiSeqX	ERS1297130
AS0106-CW	HiSeqX	ERS1297138
AS0093-CW	HiSeqX	ERS1297478
AS0111-CW	HiSeqX	ERS1297655
