derived_sample_id	seq_tech	ebi_sample_acc
AG0001-C	HiSeq	ERS248086
AG0003-C	HiSeq	ERS248088
AG0004-C	HiSeq	ERS248089
AG0006-C	HiSeq	ERS248091
AG0010-C	HiSeq	ERS248095
AG0045-C	HiSeq	ERS248130
AG0047-C	HiSeq	ERS248132
AG0052-C	HiSeq	ERS248137
AG0055-C	HiSeq	ERS248140
AG0056-C	HiSeq	ERS248141
AG0058-C	HiSeq	ERS248143
AG0061-C	HiSeq	ERS248146
AG0002-C	HiSeq	ERS248087
AG0005-C	HiSeq	ERS248090
AG0014-C	HiSeq	ERS248099
AG0015-C	HiSeq	ERS248100
AG0018-C	HiSeq	ERS248103
AG0019-C	HiSeq	ERS248104
AG0024-C	HiSeq	ERS248109
AG0028-C	HiSeq	ERS248113
AG0030-C	HiSeq	ERS248115
AG0049-C	HiSeq	ERS248134
AG0051-C	HiSeq	ERS248136
AG0064-C	HiSeq	ERS248149
AG0009-C	HiSeq	ERS248094
AG0035-C	HiSeq	ERS248120
AG0037-C	HiSeq	ERS248122
AG0038-C	HiSeq	ERS248123
AG0039-C	HiSeq	ERS248124
AG0043-C	HiSeq	ERS248128
AG0068-C	HiSeq	ERS248153
AG0071-C	HiSeq	ERS248156
AG0072-C	HiSeq	ERS248157
AG0074-C	HiSeq	ERS248159
AG0075-C	HiSeq	ERS248160
AG0077-C	HiSeq	ERS248162
AG0007-C	HiSeq	ERS248092
AG0012-C	HiSeq	ERS248097
AG0013-C	HiSeq	ERS248098
AG0016-C	HiSeq	ERS248101
AG0029-C	HiSeq	ERS248114
AG0031-C	HiSeq	ERS248116
AG0044-C	HiSeq	ERS248129
AG0054-C	HiSeq	ERS248139
AG0060-C	HiSeq	ERS248145
AG0063-C	HiSeq	ERS248148
AG0065-C	HiSeq	ERS248150
AG0069-C	HiSeq	ERS248154
AG0011-C	HiSeq	ERS248096
AG0020-C	HiSeq	ERS248105
AG0022-C	HiSeq	ERS248107
AG0023-C	HiSeq	ERS248108
AG0025-C	HiSeq	ERS248110
AG0027-C	HiSeq	ERS248112
AG0032-C	HiSeq	ERS248117
AG0048-C	HiSeq	ERS248133
AG0059-C	HiSeq	ERS248144
AG0062-C	HiSeq	ERS248147
AG0066-C	HiSeq	ERS248151
AG0076-C	HiSeq	ERS248161
AG0021-C	HiSeq	ERS248106
AG0033-C	HiSeq	ERS248118
AG0040-C	HiSeq	ERS248125
AG0041-C	HiSeq	ERS248126
AG0042-C	HiSeq	ERS248127
