derived_sample_id	seq_tech	ebi_sample_acc
AV0043-C	HiSeq	ERS224427
AV0036-C	HiSeq	ERS224431
AV0025-C	HiSeq	ERS224440
AV0037-C	HiSeq	ERS224470
AV0026-C	HiSeq	ERS224500
AV0006-C	HiSeq	ERS224396
AV0008-C	HiSeq	ERS224513
AV0015-C	HiSeq	ERS224530
AV0010-C	HiSeq	ERS224532
AV0032-C	HiSeq	ERS224543
AV0007-C	HiSeq	ERS224551
AV0035-C	HiSeq	ERS224559
AV0012-C	HiSeq	ERS224567
AV0024-C	HiSeq	ERS224575
AV0031-C	HiSeq	ERS224583
AV0002-C	HiSeq	ERS224584
AV0014-C	HiSeq	ERS224604
AV0029-C	HiSeq	ERS224606
AV0013-C	HiSeq	ERS224614
AV0005-C	HiSeq	ERS224617
AV0034-C	HiSeq	ERS224623
AV0011-C	HiSeq	ERS224630
AV0027-C	HiSeq	ERS224636
AV0003-C	HiSeq	ERS224640
AV0018-C	HiSeq	ERS224648
AV0047-C	HiSeq	ERS224657
AV0042-C	HiSeq	ERS224593
AV0038-C	HiSeq	ERS224602
AV0040-C	HiSeq	ERS224634
AV0044-C	HiSeq	ERS224653
AV0039-C	HiSeq	ERS224665
AV0004-C	HiSeq	ERS224852
AV0030-C	HiSeq	ERS224856
AV0009-C	HiSeq	ERS224858
AV0001-C	HiSeq	ERS224851
AV0046-C	HiSeq	ERS224863
AV0041-C	HiSeq	ERS224855
AV0033-C	HiSeq	ERS224860
AV0045-C	HiSeq	ERS224861
AV0017-C	HiSeq	ERS224854
AV0022-C	HiSeq	ERS224862
AV0020-C	HiSeq	ERS224857
AV0021-C	HiSeq	ERS224859
AV0028-C	HiSeq	ERS224853
AV0023-C	HiSeq	ERS224864
AV0042-Cx	HiSeq	ERS224593
AV0038-Cx	HiSeq	ERS224602
AV0040-Cx	HiSeq	ERS224634
AV0044-Cx	HiSeq	ERS224653
AV0039-Cx	HiSeq	ERS224665
AV0004-Cx	HiSeq	ERS224852
AV0030-Cx	HiSeq	ERS224856
AV0009-Cx	HiSeq	ERS224858
AV0046-Cx	HiSeq	ERS224863
AV0001-Cx	HiSeq	ERS224851
AV0014-Cx	HiSeq	ERS224604
AV0029-Cx	HiSeq	ERS224606
AV0013-Cx	HiSeq	ERS224614
AV0005-Cx	HiSeq	ERS224617
AV0034-Cx	HiSeq	ERS224623
AV0011-Cx	HiSeq	ERS224630
AV0027-Cx	HiSeq	ERS224636
AV0003-Cx	HiSeq	ERS224640
AV0018-Cx	HiSeq	ERS224648
AV0047-Cx	HiSeq	ERS224657
AV0019-C	HiSeq	ERS254300
AV0016-C	HiSeq	ERS254328
