derived_sample_id	seq_tech	ebi_sample_acc
AV0069-CW	HiSeqX	ERS1306551
AV0126-CW	HiSeqX	ERS1306566
AV0209-CW	HiSeqX	ERS1306576
AV0212-CW	HiSeqX	ERS1306577
AV0235-CW	HiSeqX	ERS1306581
AV0244-CW	HiSeqX	ERS1306582
AV0120-C	HiSeq	ERS572994
AV0132-C	HiSeq	ERS572995
AV0049-C	HiSeq	ERS572996
AV0061-C	HiSeq	ERS572997
AV0073-C	HiSeq	ERS572998
AV0085-C	HiSeq	ERS572999
AV0109-C	HiSeq	ERS573001
AV0074-C	HiSeq	ERS573006
AV0086-C	HiSeq	ERS573007
AV0098-C	HiSeq	ERS573008
AV0110-C	HiSeq	ERS573009
AV0122-C	HiSeq	ERS573010
AV0134-C	HiSeq	ERS573011
AV0075-C	HiSeq	ERS573014
AV0123-C	HiSeq	ERS573018
AV0052-C	HiSeq	ERS573020
AV0064-C	HiSeq	ERS573021
AV0076-C	HiSeq	ERS573022
AV0088-C	HiSeq	ERS573023
AV0124-C	HiSeq	ERS573026
AV0077-C	HiSeq	ERS573030
AV0089-C	HiSeq	ERS573031
AV0101-C	HiSeq	ERS573032
AV0113-C	HiSeq	ERS573033
AV0125-C	HiSeq	ERS573034
AV0137-C	HiSeq	ERS573035
AV0078-C	HiSeq	ERS573038
AV0055-C	HiSeq	ERS573044
AV0067-C	HiSeq	ERS573045
AV0079-C	HiSeq	ERS573046
AV0091-C	HiSeq	ERS573047
AV0115-C	HiSeq	ERS573049
AV0068-C	HiSeq	ERS573053
AV0080-C	HiSeq	ERS573054
AV0092-C	HiSeq	ERS573055
AV0104-C	HiSeq	ERS573056
AV0116-C	HiSeq	ERS573057
AV0128-C	HiSeq	ERS573058
AV0140-C	HiSeq	ERS573059
AV0129-C	HiSeq	ERS573066
AV0141-C	HiSeq	ERS573067
AV0058-C	HiSeq	ERS573068
AV0070-C	HiSeq	ERS573069
AV0082-C	HiSeq	ERS573070
AV0094-C	HiSeq	ERS573071
AV0106-C	HiSeq	ERS573072
AV0130-C	HiSeq	ERS573074
AV0059-C	HiSeq	ERS573075
AV0083-C	HiSeq	ERS573077
AV0095-C	HiSeq	ERS573078
AV0107-C	HiSeq	ERS573079
