derived_sample_id	seq_tech	ebi_sample_acc
AK0041-C	HiSeq	ERS224232
AK0042-C	HiSeq	ERS224301
AK0043-C	HiSeq	ERS224229
AK0044-C	HiSeq	ERS224197
AK0045-C	HiSeq	ERS224225
AK0046-C	HiSeq	ERS224122
AK0047-C	HiSeq	ERS224158
AK0048-C	HiSeq	ERS224786
AK0049-C	HiSeq	ERS224116
AK0050-C	HiSeq	ERS224160
AK0051-C	HiSeq	ERS224134
AK0052-C	HiSeq	ERS224182
AK0053-C	HiSeq	ERS224146
AK0054-C	HiSeq	ERS224104
AK0055-C	HiSeq	ERS224083
AK0056-C	HiSeq	ERS224130
AK0057-C	HiSeq	ERS224155
AK0058-C	HiSeq	ERS224334
AK0059-C	HiSeq	ERS254350
AK0061-C	HiSeq	ERS224180
AK0062-C	HiSeq	ERS224208
AK0063-C	HiSeq	ERS224198
AK0064-C	HiSeq	ERS254289
AK0065-C	HiSeq	ERS224300
AK0066-C	HiSeq	ERS224246
AK0067-C	HiSeq	ERS224168
AK0068-C	HiSeq	ERS224219
AK0069-C	HiSeq	ERS224117
AK0070-C	HiSeq	ERS224150
AK0071-C	HiSeq	ERS224316
AK0072-C	HiSeq	ERS224115
AK0073-C	HiSeq	ERS224217
AK0074-C	HiSeq	ERS224161
AK0075-C	HiSeq	ERS224171
AK0076-C	HiSeq	ERS224141
AK0077-C	HiSeq	ERS224153
AK0078-C	HiSeq	ERS224137
AK0079-C	HiSeq	ERS224109
AK0080-C	HiSeq	ERS224136
AK0081-C	HiSeq	ERS224212
AK0082-C	HiSeq	ERS224135
AK0083-C	HiSeq	ERS224789
AK0085-C	HiSeq	ERS224084
AK0086-C	HiSeq	ERS224206
AK0087-C	HiSeq	ERS224245
AK0088-C	HiSeq	ERS224235
AK0089-C	HiSeq	ERS224166
AK0090-C	HiSeq	ERS224170
AK0091-C	HiSeq	ERS224178
AK0092-C	HiSeq	ERS224192
AK0093-C	HiSeq	ERS224224
AK0094-C	HiSeq	ERS224205
AK0095-C	HiSeq	ERS224314
AK0096-C	HiSeq	ERS224209
AK0097-C	HiSeq	ERS224086
AK0098-C	HiSeq	ERS224167
AK0099-C	HiSeq	ERS224113
AK0100-C	HiSeq	ERS224093
AK0101-C	HiSeq	ERS224140
AK0102-C	HiSeq	ERS224157
AK0103-C	HiSeq	ERS224163
AK0104-C	HiSeq	ERS224105
AK0105-C	HiSeq	ERS224142
AK0106-C	HiSeq	ERS224108
AK0107-C	HiSeq	ERS224111
AK0108-C	HiSeq	ERS224112
AK0109-C	HiSeq	ERS224092
AK0110-C	HiSeq	ERS224091
AK0111-C	HiSeq	ERS254345
AK0113-C	HiSeq	ERS254346
AK0114-C	HiSeq	ERS254336
AK0115-C	HiSeq	ERS254338
AK0116-C	HiSeq	ERS254351
AK0117-C	HiSeq	ERS254352
AK0118-C	HiSeq	ERS254274
AK0119-C	HiSeq	ERS254353
AK0120-C	HiSeq	ERS254316
AK0122-C	HiSeq	ERS254335
AK0123-C	HiSeq	ERS224317
AK0124-C	HiSeq	ERS224296
AK0126-C	HiSeq	ERS224270
AK0127-C	HiSeq	ERS224218
AK0041-Cx	HiSeq	ERS224232
AK0045-Cx	HiSeq	ERS224225
AK0048-Cx	HiSeq	ERS224786
AK0051-Cx	HiSeq	ERS224134
AK0057-Cx	HiSeq	ERS224155
AK0058-Cx	HiSeq	ERS224334
AK0060-C	HiSeq	ERS224787
AK0063-Cx	HiSeq	ERS224198
AK0066-Cx	HiSeq	ERS224246
AK0068-Cx	HiSeq	ERS224219
AK0072-Cx	HiSeq	ERS224115
AK0075-Cx	HiSeq	ERS224171
AK0076-Cx	HiSeq	ERS224141
AK0081-Cx	HiSeq	ERS224212
AK0082-Cx	HiSeq	ERS224135
AK0090-Cx	HiSeq	ERS224170
AK0091-Cx	HiSeq	ERS224178
AK0092-Cx	HiSeq	ERS224192
AK0094-Cx	HiSeq	ERS224205
AK0097-Cx	HiSeq	ERS224086
AK0099-Cx	HiSeq	ERS224113
AK0100-Cx	HiSeq	ERS224093
AK0103-Cx	HiSeq	ERS224163
AK0105-Cx	HiSeq	ERS224142
AK0106-Cx	HiSeq	ERS224108
AK0109-Cx	HiSeq	ERS224092
AK0126-Cx	HiSeq	ERS224270
AK0127-Cx	HiSeq	ERS224218
AK0128-C	HiSeq	ERS224788
AK0129-C	HiSeq	ERS306647
AK0130-C	HiSeq	ERS306648
AK0131-C	HiSeq	ERS306649
AK0132-C	HiSeq	ERS306650
AK0133-C	HiSeq	ERS306651
AK0134-C	HiSeq	ERS306652
AK0135-C	HiSeq	ERS306653
AK0136-C	HiSeq	ERS306654
AK0137-C	HiSeq	ERS306655
AK0138-C	HiSeq	ERS306656
AK0139-C	HiSeq	ERS306657
AK0140-C	HiSeq	ERS306658
AK0141-C	HiSeq	ERS306659
AK0142-C	HiSeq	ERS306660
AK0143-C	HiSeq	ERS306661
AK0144-C	HiSeq	ERS306662
AK0145-C	HiSeq	ERS306663
AK0146-C	HiSeq	ERS306664
AK0147-C	HiSeq	ERS306665
AK0148-C	HiSeq	ERS306666
AK0149-C	HiSeq	ERS306667
AK0150-C	HiSeq	ERS306668
AK0151-C	HiSeq	ERS306669
AK0152-C	HiSeq	ERS306670
AK0153-C	HiSeq	ERS306671
AK0154-C	HiSeq	ERS306672
AK0155-C	HiSeq	ERS306673
AK0157-C	HiSeq	ERS306675
AK0158-C	HiSeq	ERS306676
AK0159-C	HiSeq	ERS306677
AK0160-C	HiSeq	ERS306678
AK0161-C	HiSeq	ERS306679
AK0163-C	HiSeq	ERS306681
AK0164-C	HiSeq	ERS306682
AK0165-C	HiSeq	ERS306683
AK0166-C	HiSeq	ERS306684
AK0177-C	HiSeqX	ERS1119073
AK0193-CW	HiSeqX	ERS1297625
AK0203-C	HiSeqX	ERS1119079
AK0204-C	HiSeqX	ERS1119082
AK0205-C	HiSeqX	ERS1119083
AK0206-CW	HiSeqX	ERS1297993
AK0207-C	HiSeqX	ERS1119084
AK0211-C	HiSeqX	ERS1119085
AK0212-C	HiSeqX	ERS1119087
AK0213-C	HiSeqX	ERS1119074
AK0214-C	HiSeqX	ERS1119076
AK0215-C	HiSeqX	ERS1119080
AK0226-C	HiSeqX	ERS1119077
AK0228-CW	HiSeqX	ERS1297429
AK0233-CW	HiSeqX	ERS1297627
AK0234-CW	HiSeqX	ERS1297430
AK0235-C	HiSeqX	ERS1119086
AK0236-C	HiSeqX	ERS1119088
AK0237-C	HiSeqX	ERS1119075
AK0238-C	HiSeqX	ERS1119078
AK0239-C	HiSeqX	ERS1119081
AK0240-CW	HiSeqX	ERS1297879
AK0244-CW	HiSeqX	ERS1297431
AK0263-CW	HiSeqX	ERS1297628
AK0274-C	HiSeqX	ERS1119089
AK0277-CW	HiSeqX	ERS1297433
AK0278-C	HiSeqX	ERS1119090
AK0279-C	HiSeqX	ERS1119091
AK0280-C	HiSeqX	ERS1119092
AK0281-C	HiSeqX	ERS1119093
AK0282-CW	HiSeqX	ERS1297629
AK0283-CW	HiSeqX	ERS1297434
AK0284-C	HiSeqX	ERS1245250
AK0285-C	HiSeqX	ERS1245251
AK0288-C	HiSeqX	ERS1245252
AK0290-C	HiSeqX	ERS1245253
AK0291-C	HiSeqX	ERS1245254
AK0294-C	HiSeqX	ERS1245255
AK0298-C	HiSeqX	ERS1245256
AK0299-C	HiSeqX	ERS1245257
AK0300-CW	HiSeqX	ERS1297437
AK0353-CW	HiSeqX	ERS1297438
AK0442-CW	HiSeqX	ERS1297441
AK0443-CW	HiSeqX	ERS1297633
AK0447-CW	HiSeqX	ERS1297994
AK0448-CW	HiSeqX	ERS1297443
AK0453-CW	HiSeqX	ERS1297635
AK0455-CW	HiSeqX	ERS1297881
AK0459-C	HiSeqX	ERS1245258
AK0485-CW	HiSeqX	ERS1298050
AK0486-CW	HiSeqX	ERS1297451
