derived_sample_id	seq_tech	ebi_sample_acc
AZ0252-C	HiSeqX	ERS1119041
AZ0253-C	HiSeqX	ERS1119042
AZ0254-C	HiSeqX	ERS1119043
AZ0255-C	HiSeqX	ERS1119044
AZ0256-C	HiSeqX	ERS1119045
AZ0257-C	HiSeqX	ERS1119046
AZ0258-C	HiSeqX	ERS1119047
AZ0259-C	HiSeqX	ERS1119048
AZ0260-C	HiSeqX	ERS1119049
AZ0261-C	HiSeqX	ERS1119050
AZ0262-C	HiSeqX	ERS1119051
AZ0263-C	HiSeqX	ERS1119052
AZ0264-C	HiSeqX	ERS1119053
AZ0265-C	HiSeqX	ERS1119054
AZ0266-C	HiSeqX	ERS1119055
AZ0267-C	HiSeqX	ERS1119056
AZ0268-C	HiSeqX	ERS1119057
AZ0269-C	HiSeqX	ERS1119058
AZ0270-C	HiSeqX	ERS1119059
AZ0271-C	HiSeqX	ERS1119060
AZ0272-C	HiSeqX	ERS1119061
AZ0273-C	HiSeqX	ERS1119062
AZ0274-C	HiSeqX	ERS1119063
AZ0275-C	HiSeqX	ERS1119064
AZ0276-C	HiSeqX	ERS1119065
AZ0277-C	HiSeqX	ERS1119066
AZ0278-C	HiSeqX	ERS1119067
AZ0279-C	HiSeqX	ERS1119068
AZ0280-C	HiSeqX	ERS1119069
AZ0281-C	HiSeqX	ERS1119070
AZ0282-C	HiSeqX	ERS1119071
AZ0283-C	HiSeqX	ERS1119072
VBS02049-4431STDY6672917	HiSeqX	ERS1502618
VBS02050-4431STDY6672918	HiSeqX	ERS1502619
VBS02051-4431STDY6672919	HiSeqX	ERS1502620
VBS02052-4431STDY6672920	HiSeqX	ERS1502621
VBS02053-4431STDY6672921	HiSeqX	ERS1502622
VBS02054-4431STDY6672922	HiSeqX	ERS1502623
VBS02055-4431STDY6672923	HiSeqX	ERS1502624
VBS02056-4431STDY6672924	HiSeqX	ERS1502625
VBS02057-4431STDY6672925	HiSeqX	ERS1502626
VBS02058-4431STDY6672926	HiSeqX	ERS1502627
VBS02059-4431STDY6672927	HiSeqX	ERS1502628
