derived_sample_id	seq_tech	ebi_sample_acc
AC0007-C	HiSeq	ERS223997
AC0007-Cx	HiSeq	ERS223997
AC0008-C	HiSeq	ERS223838
AC0009-C	HiSeq	ERS223874
AC0009-Cx	HiSeq	ERS223874
AC0010-C	HiSeq	ERS223945
AC0011-C	HiSeq	ERS223836
AC0012-C	HiSeq	ERS223993
AC0012-Cx	HiSeq	ERS223993
AC0013-C	HiSeq	ERS224769
AC0013-Cx	HiSeq	ERS224769
AC0014-C	HiSeq	ERS223887
AC0015-C	HiSeq	ERS223858
AC0015-Cx	HiSeq	ERS223858
AC0016-C	HiSeq	ERS223869
AC0017-C	HiSeq	ERS223900
AC0017-Cx	HiSeq	ERS223900
AC0018-C	HiSeq	ERS223893
AC0018-Cx	HiSeq	ERS223893
AC0019-C	HiSeq	ERS223883
AC0020-C	HiSeq	ERS223901
AC0021-C	HiSeq	ERS223987
AC0022-C	HiSeq	ERS223884
AC0023-C	HiSeq	ERS223849
AC0024-C	HiSeq	ERS223943
AC0024-Cx	HiSeq	ERS223943
AC0025-C	HiSeq	ERS223852
AC0026-C	HiSeq	ERS223877
AC0027-C	HiSeq	ERS223792
AC0028-C	HiSeq	ERS223949
AC0029-C	HiSeq	ERS223898
AC0030-C	HiSeq	ERS223871
AC0031-C	HiSeq	ERS223847
AC0031-Cx	HiSeq	ERS223847
AC0032-C	HiSeq	ERS223775
AC0033-C	HiSeq	ERS223961
AC0033-Cx	HiSeq	ERS223961
AC0034-C	HiSeq	ERS223980
AC0035-C	HiSeq	ERS223846
AC0035-Cx	HiSeq	ERS223846
AC0036-C	HiSeq	ERS223995
AC0037-C	HiSeq	ERS223907
AC0037-Cx	HiSeq	ERS223907
AC0038-C	HiSeq	ERS223902
AC0038-Cx	HiSeq	ERS223902
AC0039-C	HiSeq	ERS223791
AC0040-C	HiSeq	ERS223805
AC0041-C	HiSeq	ERS223930
AC0041-Cx	HiSeq	ERS223930
AC0042-C	HiSeq	ERS223948
AC0042-Cx	HiSeq	ERS223948
AC0043-C	HiSeq	ERS223808
AC0044-C	HiSeq	ERS223832
AC0044-Cx	HiSeq	ERS223832
AC0045-C	HiSeq	ERS223979
AC0045-Cx	HiSeq	ERS223979
AC0046-C	HiSeq	ERS223787
AC0047-C	HiSeq	ERS223855
AC0048-C	HiSeq	ERS224036
AC0048-Cx	HiSeq	ERS224036
AC0049-C	HiSeq	ERS223860
AC0049-Cx	HiSeq	ERS223860
AC0050-C	HiSeq	ERS223854
AC0050-Cx	HiSeq	ERS223854
AC0051-C	HiSeq	ERS223825
AC0052-C	HiSeq	ERS223929
AC0052-Cx	HiSeq	ERS223929
AC0053-C	HiSeq	ERS223913
AC0054-C	HiSeq	ERS223767
AC0055-C	HiSeq	ERS223862
AC0056-C	HiSeq	ERS223747
AC0057-C	HiSeq	ERS223766
AC0058-C	HiSeq	ERS223822
AC0059-C	HiSeq	ERS223760
AC0060-C	HiSeq	ERS223782
AC0061-C	HiSeq	ERS223973
AC0062-C	HiSeq	ERS223802
AC0063-C	HiSeq	ERS223758
AC0064-C	HiSeq	ERS223815
AC0065-C	HiSeq	ERS223813
AC0066-C	HiSeq	ERS223789
AC0067-C	HiSeq	ERS223903
AC0067-Cx	HiSeq	ERS223903
AC0068-C	HiSeq	ERS223821
AC0069-C	HiSeq	ERS223798
AC0070-C	HiSeq	ERS223988
AC0071-C	HiSeq	ERS223826
AC0072-C	HiSeq	ERS223796
AC0073-C	HiSeq	ERS223803
AC0074-C	HiSeq	ERS223819
AC0075-C	HiSeq	ERS223814
AC0076-C	HiSeq	ERS223890
AC0077-C	HiSeq	ERS223812
AC0078-C	HiSeq	ERS223810
AC0079-C	HiSeq	ERS223878
AC0080-C	HiSeq	ERS223881
AC0080-Cx	HiSeq	ERS223881
AC0081-C	HiSeq	ERS223965
AC0081-Cx	HiSeq	ERS223965
AC0082-C	HiSeq	ERS223974
AC0083-C	HiSeq	ERS223777
AC0084-C	HiSeq	ERS223765
AC0085-C	HiSeq	ERS223806
