path	sample	reads	bases
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/8/4/7/d/1216490/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AK0099-Cx	33730477	3238893200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/2/b/5/6/1215096/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0211-C	60160	5690800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/5/a/b/1/1215085/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0161-C	2939990	263471600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/4/7/1/6/1216563/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	BL0395-C	69058193	9827785774
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/1/4/c/b/1215325/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	BL0191-C	11118254	1306295866
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/0/9/e/0/1217096/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0033-C	45202487	4383266800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/7/1/e/9/1215345/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AK0072-Cx	35616930	3435319200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/6/0/a/7/1216755/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AJ0108-C	36507353	3510107800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/d/4/a/6/1217001/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0133-C	16154626	1558645000
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/9/4/f/9/1213545/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0131-C	46326540	4464501800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/d/1/d/a/1217082/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AB0252-C	47633790	4564762400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/b/a/2/e/1216197/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AK0076-Cx	35907139	3452515800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/e/c/3/2/1214890/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AK0050-C	54644461	5251893400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/c/5/3/4/1216713/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AB0247-C	38041895	3659295800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/8/c/2/b/1215685/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AG0055-C	63432296	5914673400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/4/1/3/1/1215135/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0028-C	415480	39793600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/a/b/8/3/1216508/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0145-C	25070602	2407572400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/8/2/b/4/1217092/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0271-C	51929751	4919543400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/8/b/1/8/1215744/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AK0078-C	89558516	8643211800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/0/d/a/d/1215424/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AK0106-Cx	32872507	3167364600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/5/2/4/2/1215117/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AK0165-C	117949197	10141098200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/7/5/3/2/1215057/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0316-Cx	87069815	8179635800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/8/2/d/2/1214318/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AB0259-C	18880675	1817901800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/2/1/c/3/1215279/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0202-C	92825390	8783417800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/8/b/f/6/1217104/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0095-C	93573416	8818162200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/5/7/0/a/1214944/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0195-C	24378310	2313971600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/9/b/0/6/1216775/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0194-Cx	79241764	7561882200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/7/3/8/0/1214637/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0184-C	80862905	7619411400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/0/2/9/5/1217400/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AK0155-C	119755477	10479665800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/9/c/4/e/1216098/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0207-C	103161964	9801657200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/e/e/5/d/1215940/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AB0116-C	84664017	8085277800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/8/7/2/7/1216647/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0112-C	74951662	7097843800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/e/4/7/c/1215745/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AK0136-C	112570794	9532529600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/f/9/2/1/1216198/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AK0089-C	70832167	6824018200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/e/3/f/5/1215536/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0063-Cx	77841211	7426396800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/b/0/3/7/1215183/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0301-C	78423443	7530637400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/0/0/f/8/1215244/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0075-C	90099257	8649572400
