dps,mean,population,country,pop_n,species,year
10,0.00948773113388483,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
10,0.009472429640671704,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
10,0.009622223205810706,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
10,0.00941283435131533,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
10,0.009584372143651928,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
15,0.009868894369557466,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
15,0.009868894369557462,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
15,0.009850143181775493,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
15,0.009918657137132695,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
15,0.00980759240950102,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
20,0.010168329831274931,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
20,0.010055482730491856,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
20,0.010169673249141396,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
20,0.010270429589126284,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
20,0.010237515851397887,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
25,0.010380029983538628,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
25,0.010408734054653927,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
25,0.010463590723896497,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
25,0.010373651301068562,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
25,0.010499949213975873,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
30,0.010641978559321686,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
30,0.01065974684639753,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
30,0.010641978559321688,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
30,0.010654845249962814,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
30,0.010570292711463971,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
35,0.010861593534294264,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
35,0.010967730953370511,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
35,0.010843805140035676,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
35,0.010895984429860868,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
35,0.010795776475537486,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
40,0.011031744112531962,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
40,0.011038666353138025,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
40,0.010918103995915732,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
40,0.011015592217784477,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
40,0.01094521610495615,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
45,0.011239931470561512,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
45,0.011251199007497567,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
45,0.011118805448498923,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
45,0.011207818990293756,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
45,0.011162748842549535,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
50,0.011258319724605543,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
50,0.01129143080658566,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
50,0.011281497481991623,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
50,0.01129694932024901,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
50,0.011352134456882535,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
55,0.011516036327746568,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
55,0.0114786501177807,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
55,0.011424467204786693,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
55,0.011484068409080101,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
55,0.011425009033916633,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
60,0.011584664689748716,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
60,0.011496187379488848,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
60,0.01163103532825841,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
60,0.01154095903046372,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
60,0.011512177254837016,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
65,0.011672440725641497,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
65,0.011654061410120644,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
65,0.011689244671260559,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
65,0.011648810177114688,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
65,0.01170499837027843,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
70,0.011786988703061324,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
70,0.011804602099795999,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
70,0.011756942320396289,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
70,0.011762640772281036,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
70,0.011706692335594416,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
75,0.011869558427431703,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
75,0.011867000332943032,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
75,0.011854209860499678,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
75,0.011856767954988351,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
75,0.011832210247897112,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
80,0.011942395934511582,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
80,0.011943407444775803,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
80,0.01194441895504002,UGA_2_arabiensis_2012,UGA,2,arabiensis,2012
