dps,mean,population,country,pop_n,species,year
10,0.016361591400819015,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
10,0.016376154664096417,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
10,0.01632776704740053,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
10,0.016659433623976226,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
10,0.01654339730044337,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
15,0.016558320510814854,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
15,0.016453566279071342,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
15,0.016447255783183182,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
15,0.016653819348589057,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
15,0.016594079987514443,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
20,0.016195518113426517,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
20,0.017209182869418926,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
20,0.016675901952176685,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
20,0.016464705468419476,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
20,0.016477635865384203,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
25,0.016667390982908325,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
25,0.01644004410853771,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
25,0.016614554229781274,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
25,0.016788692261214086,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
25,0.017195386424368044,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
30,0.016753860847042355,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
30,0.01695257973583311,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
30,0.016523690047795504,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
30,0.01650296037954035,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
30,0.01649116591311932,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
35,0.016529865364793554,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
35,0.016752269705232192,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
35,0.016815566741468998,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
35,0.016780632311633386,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
35,0.01700614962106727,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
40,0.016744803883840146,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
40,0.0167340359540085,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
40,0.016697357693019412,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
40,0.01669432921275426,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
40,0.016898246883941252,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
45,0.016866282143439368,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
45,0.017276091851417794,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
45,0.016771634833176504,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
45,0.016718067084659678,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
45,0.016711494354780313,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
50,0.016856667885621263,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
50,0.01707975380046229,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
50,0.01695388570132399,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
50,0.017170211436927412,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
50,0.01711226704346221,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
55,0.01681982107102008,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
55,0.01669592280997378,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
55,0.01708594947867565,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
55,0.017016098673340873,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
55,0.01673511511703945,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
60,0.016892592644214367,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
60,0.016941717094589578,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
60,0.016880777902984884,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
60,0.0170185129125812,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
60,0.017087224960257916,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
65,0.01722478818421521,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
65,0.01716628069647384,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
65,0.017048653077140402,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
65,0.017179758861189127,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
65,0.017117881832268932,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
70,0.0172502499372935,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
70,0.01703992525863825,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
70,0.017101269956579363,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
70,0.017220635255528822,ANG_1_coluzzii_2009,ANG,1,coluzzii,2009
