derived_sample_id	seq_tech	ebi_sample_acc
AB0085-C	HiSeq	ERS223996
AB0085-Cx	HiSeq	ERS223996
AB0086-C	HiSeq	ERS223972
AB0086-Cx	HiSeq	ERS223972
AB0087-C	HiSeq	ERS224013
AB0087-Cx	HiSeq	ERS224013
AB0088-C	HiSeq	ERS223991
AB0089-C	HiSeq	ERS224031
AB0089-Cx	HiSeq	ERS224031
AB0090-C	HiSeq	ERS223936
AB0090-Cx	HiSeq	ERS223936
AB0091-C	HiSeq	ERS224065
AB0091-Cx	HiSeq	ERS224065
AB0092-C	HiSeq	ERS224043
AB0092-Cx	HiSeq	ERS224043
AB0093-C	HiSeq	ERS223795
AB0094-C	HiSeq	ERS224057
AB0094-Cx	HiSeq	ERS224057
AB0095-C	HiSeq	ERS224021
AB0095-Cx	HiSeq	ERS224021
AB0096-C	HiSeq	ERS223998
AB0097-C	HiSeq	ERS224030
AB0097-Cx	HiSeq	ERS224030
AB0098-C	HiSeq	ERS223999
AB0098-Cx	HiSeq	ERS223999
AB0099-C	HiSeq	ERS223941
AB0099-Cx	HiSeq	ERS223941
AB0100-C	HiSeq	ERS224020
AB0100-Cx	HiSeq	ERS224020
AB0101-C	HiSeq	ERS223977
AB0102-C	HiSeq	ERS254278
AB0103-C	HiSeq	ERS223970
AB0104-C	HiSeq	ERS223976
AB0104-Cx	HiSeq	ERS223976
AB0105-C	HiSeq	ERS224001
AB0105-Cx	HiSeq	ERS224001
AB0106-C	HiSeq	ERS224081
AB0106-Cx	HiSeq	ERS224081
AB0107-C	HiSeq	ERS224073
AB0107-Cx	HiSeq	ERS224073
AB0108-C	HiSeq	ERS223919
AB0108-Cx	HiSeq	ERS223919
AB0109-C	HiSeq	ERS223925
AB0110-C	HiSeq	ERS224009
AB0110-Cx	HiSeq	ERS224009
AB0111-C	HiSeq	ERS224056
AB0111-Cx	HiSeq	ERS224056
AB0112-C	HiSeq	ERS224015
AB0112-Cx	HiSeq	ERS224015
AB0113-C	HiSeq	ERS223984
AB0114-C	HiSeq	ERS224023
AB0114-Cx	HiSeq	ERS224023
AB0115-C	HiSeq	ERS224774
AB0116-C	HiSeq	ERS224024
AB0116-Cx	HiSeq	ERS224024
AB0117-C	HiSeq	ERS224010
AB0117-Cx	HiSeq	ERS224010
AB0118-C	HiSeq	ERS224059
AB0118-Cx	HiSeq	ERS224059
AB0119-C	HiSeq	ERS224017
AB0119-Cx	HiSeq	ERS224017
AB0120-C	HiSeq	ERS224780
AB0121-C	HiSeq	ERS224080
AB0121-Cx	HiSeq	ERS224080
AB0122-C	HiSeq	ERS224064
AB0122-Cx	HiSeq	ERS224064
AB0123-C	HiSeq	ERS224045
AB0123-Cx	HiSeq	ERS224045
AB0124-C	HiSeq	ERS224044
AB0124-Cx	HiSeq	ERS224044
AB0125-C	HiSeq	ERS254295
AB0126-C	HiSeq	ERS224079
AB0126-Cx	HiSeq	ERS224079
AB0127-C	HiSeq	ERS224775
AB0127-Cx	HiSeq	ERS224775
AB0128-C	HiSeq	ERS224011
AB0128-Cx	HiSeq	ERS224011
AB0129-C	HiSeq	ERS224050
AB0129-Cx	HiSeq	ERS224050
AB0130-C	HiSeq	ERS224053
AB0130-Cx	HiSeq	ERS224053
AB0131-C	HiSeq	ERS224041
AB0131-Cx	HiSeq	ERS224041
AB0132-C	HiSeq	ERS223830
AB0132-CW	HiSeq	ERS386072
AB0133-C	HiSeq	ERS224071
AB0133-Cx	HiSeq	ERS224071
AB0134-C	HiSeq	ERS224046
AB0134-Cx	HiSeq	ERS224046
AB0135-C	HiSeq	ERS224014
AB0135-Cx	HiSeq	ERS224014
AB0136-C	HiSeq	ERS224063
AB0136-Cx	HiSeq	ERS224063
AB0137-C	HiSeq	ERS224008
AB0137-Cx	HiSeq	ERS224008
AB0138-C	HiSeq	ERS224006
AB0138-Cx	HiSeq	ERS224006
AB0139-C	HiSeq	ERS223955
AB0139-Cx	HiSeq	ERS223955
AB0140-C	HiSeq	ERS223963
AB0141-C	HiSeq	ERS223950
AB0141-Cx	HiSeq	ERS223950
AB0142-C	HiSeq	ERS223982
AB0142-Cx	HiSeq	ERS223982
AB0143-C	HiSeq	ERS224051
AB0143-Cx	HiSeq	ERS224051
AB0144-C	HiSeq	ERS224035
AB0144-Cx	HiSeq	ERS224035
AB0145-C	HiSeq	ERS223962
AB0145-Cx	HiSeq	ERS223962
AB0146-C	HiSeq	ERS224077
AB0146-Cx	HiSeq	ERS224077
AB0147-C	HiSeq	ERS223924
AB0148-C	HiSeq	ERS224076
AB0148-Cx	HiSeq	ERS224076
AB0149-C	HiSeq	ERS254301
AB0150-C	HiSeq	ERS224038
AB0150-Cx	HiSeq	ERS224038
AB0151-C	HiSeq	ERS224003
AB0151-Cx	HiSeq	ERS224003
AB0152-C	HiSeq	ERS254283
AB0153-C	HiSeq	ERS224776
AB0154-C	HiSeq	ERS224025
AB0154-Cx	HiSeq	ERS224025
AB0155-C	HiSeq	ERS224066
AB0155-Cx	HiSeq	ERS224066
AB0156-C	HiSeq	ERS224072
AB0156-Cx	HiSeq	ERS224072
AB0157-C	HiSeq	ERS224058
AB0157-Cx	HiSeq	ERS224058
AB0158-C	HiSeq	ERS224016
AB0158-Cx	HiSeq	ERS224016
AB0159-C	HiSeq	ERS224770
AB0159-Cx	HiSeq	ERS224770
AB0160-C	HiSeq	ERS224032
AB0160-Cx	HiSeq	ERS224032
AB0161-C	HiSeq	ERS224771
AB0162-C	HiSeq	ERS224773
AB0163-C	HiSeq	ERS254287
AB0164-C	HiSeq	ERS224060
AB0164-Cx	HiSeq	ERS224060
AB0165-C	HiSeq	ERS224777
AB0166-C	HiSeq	ERS224004
AB0166-Cx	HiSeq	ERS224004
AB0167-C	HiSeq	ERS224779
AB0168-C	HiSeq	ERS254273
AB0169-C	HiSeq	ERS224052
AB0169-Cx	HiSeq	ERS224052
AB0170-C	HiSeq	ERS224018
AB0170-Cx	HiSeq	ERS224018
AB0171-C	HiSeq	ERS224067
AB0171-Cx	HiSeq	ERS224067
AB0172-C	HiSeq	ERS223916
AB0172-Cx	HiSeq	ERS223916
AB0173-C	HiSeq	ERS224772
AB0173-Cx	HiSeq	ERS224772
AB0174-C	HiSeq	ERS224039
AB0174-Cx	HiSeq	ERS224039
AB0175-C	HiSeq	ERS224070
AB0175-Cx	HiSeq	ERS224070
AB0176-C	HiSeq	ERS224022
AB0176-Cx	HiSeq	ERS224022
AB0177-C	HiSeq	ERS224778
AB0177-Cx	HiSeq	ERS224778
AB0178-C	HiSeq	ERS224074
AB0178-Cx	HiSeq	ERS224074
AB0179-C	HiSeq	ERS224055
AB0179-Cx	HiSeq	ERS224055
AB0180-C	HiSeq	ERS224028
AB0180-Cx	HiSeq	ERS224028
AB0181-C	HiSeq	ERS223761
AB0182-C	HiSeq	ERS223922
AB0182-Cx	HiSeq	ERS223922
AB0183-C	HiSeq	ERS223994
AB0184-C	HiSeq	ERS223843
AB0185-C	HiSeq	ERS223844
AB0185-Cx	HiSeq	ERS223844
AB0186-C	HiSeq	ERS223938
AB0187-C	HiSeq	ERS223971
AB0187-Cx	HiSeq	ERS223971
AB0188-C	HiSeq	ERS223923
AB0188-Cx	HiSeq	ERS223923
AB0189-C	HiSeq	ERS223794
