derived_sample_id	seq_tech	ebi_sample_acc
AY0072-C	HiSeq	ERS311789
AY0062-C	HiSeq	ERS311796
AY0055-C	HiSeq	ERS311827
AY0034-C	HiSeq	ERS311833
AY0078-C	HiSeq	ERS311837
AY0033-C	HiSeq	ERS311825
AY0064-C	HiSeq	ERS311812
AY0032-C	HiSeq	ERS311817
AY0067-C	HiSeq	ERS311836
AY0059-C	HiSeq	ERS311859
AY0027-C	HiSeq	ERS311864
AY0060-C	HiSeq	ERS311867
AY0061-C	HiSeq	ERS311788
AY0031-C	HiSeq	ERS311809
AY0091-C	HiSeq	ERS311854
AY0052-C	HiSeq	ERS311803
AY0021-C	HiSeq	ERS311816
AY0045-C	HiSeq	ERS311834
AY0068-C	HiSeq	ERS311844
AY0016-C	HiSeq	ERS311863
AY0039-C	HiSeq	ERS311786
AY0042-C	HiSeq	ERS311810
AY0088-C	HiSeq	ERS311830
AY0015-C	HiSeq	ERS311855
AY0020-C	HiSeq	ERS311808
AY0077-C	HiSeq	ERS311829
AY0049-C	HiSeq	ERS311866
AY0029-C	HiSeq	ERS311793
AY0040-C	HiSeq	ERS311794
AY0054-C	HiSeq	ERS311819
AY0046-C	HiSeq	ERS311842
AY0057-C	HiSeq	ERS311843
AY0025-C	HiSeq	ERS311848
AY0069-C	HiSeq	ERS311852
AY0070-C	HiSeq	ERS311860
AY0028-C	HiSeq	ERS311785
AY0073-C	HiSeq	ERS311797
AY0084-C	HiSeq	ERS311798
AY0075-C	HiSeq	ERS311813
AY0022-C	HiSeq	ERS311824
AY0014-C	HiSeq	ERS311847
AY0092-C	HiSeq	ERS311862
AY0087-C	HiSeq	ERS311822
AY0044-C	HiSeq	ERS311826
AY0071-C	HiSeq	ERS311868
AY0090-C	HiSeq	ERS311846
AY0026-C	HiSeq	ERS311856
AY0050-C	HiSeq	ERS311787
AY0008-C	HiSeq	ERS311799
AY0041-C	HiSeq	ERS311802
AY0085-C	HiSeq	ERS311806
AY0023-C	HiSeq	ERS311832
AY0038-C	HiSeq	ERS311865
AY0007-C	HiSeq	ERS311791
AY0018-C	HiSeq	ERS311792
AY0019-C	HiSeq	ERS311800
AY0086-C	HiSeq	ERS311814
AY0076-C	HiSeq	ERS311821
AY0079-C	HiSeq	ERS311845
AY0082-C	HiSeq	ERS311869
AY0006-C	HiSeq	ERS311783
AY0083-C	HiSeq	ERS311790
AY0063-C	HiSeq	ERS311804
AY0009-C	HiSeq	ERS311807
AY0011-C	HiSeq	ERS311823
AY0012-C	HiSeq	ERS311831
AY0051-C	HiSeq	ERS311795
AY0047-C	HiSeq	ERS311850
AY0010-C	HiSeq	ERS311815
AY0035-C	HiSeq	ERS311841
AY0074-C	HiSeq	ERS311805
AY0056-C	HiSeq	ERS311835
AY0089-C	HiSeq	ERS311838
AY0048-C	HiSeq	ERS311858
AY0053-C	HiSeq	ERS311811
AY0065-C	HiSeq	ERS311820
AY0066-C	HiSeq	ERS311828
AY0024-C	HiSeq	ERS311840
AY0080-C	HiSeq	ERS311853
AY0017-C	HiSeq	ERS311784
AY0043-C	HiSeq	ERS311818
AY0013-C	HiSeq	ERS311839
AY0036-C	HiSeq	ERS311849
AY0058-C	HiSeq	ERS311851
