derived_sample_id	seq_tech	ebi_sample_acc
AN0007-C	HiSeq	ERS224381
AN0008-C	HiSeq	ERS224561
AN0009-C	HiSeq	ERS224573
AN0010-C	HiSeq	ERS224462
AN0011-C	HiSeq	ERS224416
AN0012-C	HiSeq	ERS224467
AN0013-C	HiSeq	ERS224508
AN0014-C	HiSeq	ERS224566
AN0015-C	HiSeq	ERS224377
AN0016-C	HiSeq	ERS224495
AN0017-C	HiSeq	ERS224637
AN0017-Cx	HiSeq	ERS224637
AN0018-C	HiSeq	ERS224620
AN0018-Cx	HiSeq	ERS224620
AN0019-C	HiSeq	ERS224403
AN0020-C	HiSeq	ERS224393
AN0021-C	HiSeq	ERS224351
AN0022-C	HiSeq	ERS224579
AN0023-C	HiSeq	ERS224558
AN0024-C	HiSeq	ERS224453
AN0025-C	HiSeq	ERS224651
AN0025-Cx	HiSeq	ERS224651
AN0026-C	HiSeq	ERS224626
AN0026-Cx	HiSeq	ERS224626
AN0027-C	HiSeq	ERS224430
AN0028-C	HiSeq	ERS224645
AN0028-Cx	HiSeq	ERS224645
AN0029-C	HiSeq	ERS224535
AN0030-C	HiSeq	ERS224493
AN0031-C	HiSeq	ERS224576
AN0032-C	HiSeq	ERS224528
AN0033-C	HiSeq	ERS224494
AN0034-C	HiSeq	ERS224574
AN0035-C	HiSeq	ERS224459
AN0036-C	HiSeq	ERS224519
AN0037-C	HiSeq	ERS224433
AN0038-C	HiSeq	ERS224365
AN0039-C	HiSeq	ERS224373
AN0040-C	HiSeq	ERS224394
AN0041-C	HiSeq	ERS224411
AN0042-C	HiSeq	ERS224563
AN0043-C	HiSeq	ERS224361
AN0044-C	HiSeq	ERS224468
AN0045-C	HiSeq	ERS224353
AN0046-C	HiSeq	ERS224383
AN0047-C	HiSeq	ERS224349
AN0048-C	HiSeq	ERS224405
AN0049-C	HiSeq	ERS224417
AN0050-C	HiSeq	ERS224356
AN0051-C	HiSeq	ERS224419
AN0052-C	HiSeq	ERS254315
AN0053-C	HiSeq	ERS224408
AN0054-C	HiSeq	ERS224458
AN0055-C	HiSeq	ERS224362
AN0056-C	HiSeq	ERS224526
AN0056-Cx	HiSeq	ERS224526
AN0057-C	HiSeq	ERS224518
AN0057-Cx	HiSeq	ERS224518
AN0058-C	HiSeq	ERS224345
AN0059-C	HiSeq	ERS224556
AN0059-Cx	HiSeq	ERS224556
AN0060-C	HiSeq	ERS224439
AN0061-C	HiSeq	ERS224594
AN0061-Cx	HiSeq	ERS224594
AN0062-C	HiSeq	ERS224465
AN0063-C	HiSeq	ERS224515
AN0063-Cx	HiSeq	ERS224515
AN0064-C	HiSeq	ERS224618
AN0064-Cx	HiSeq	ERS224618
AN0065-C	HiSeq	ERS224534
AN0065-Cx	HiSeq	ERS224534
AN0066-C	HiSeq	ERS224389
AN0067-C	HiSeq	ERS224552
AN0067-Cx	HiSeq	ERS224552
AN0068-C	HiSeq	ERS224512
AN0068-Cx	HiSeq	ERS224512
AN0069-C	HiSeq	ERS224570
AN0069-Cx	HiSeq	ERS224570
AN0070-C	HiSeq	ERS224587
AN0070-Cx	HiSeq	ERS224587
AN0071-C	HiSeq	ERS224484
AN0072-C	HiSeq	ERS224659
AN0072-Cx	HiSeq	ERS224659
AN0073-C	HiSeq	ERS224443
AN0074-C	HiSeq	ERS224428
AN0075-C	HiSeq	ERS224549
AN0075-Cx	HiSeq	ERS224549
AN0076-C	HiSeq	ERS224436
AN0077-C	HiSeq	ERS224616
AN0077-Cx	HiSeq	ERS224616
AN0078-C	HiSeq	ERS224553
AN0078-Cx	HiSeq	ERS224553
AN0079-C	HiSeq	ERS224471
AN0080-C	HiSeq	ERS224366
AN0081-C	HiSeq	ERS224483
AN0082-C	HiSeq	ERS224455
AN0083-C	HiSeq	ERS224368
AN0084-C	HiSeq	ERS224492
AN0085-C	HiSeq	ERS224398
AN0086-C	HiSeq	ERS224392
AN0087-C	HiSeq	ERS224449
AN0088-C	HiSeq	ERS224631
AN0088-Cx	HiSeq	ERS224631
AN0089-C	HiSeq	ERS224379
AN0090-C	HiSeq	ERS224395
AN0091-C	HiSeq	ERS224348
AN0092-C	HiSeq	ERS224499
AN0093-C	HiSeq	ERS224476
AN0094-C	HiSeq	ERS224390
AN0095-C	HiSeq	ERS224596
AN0095-Cx	HiSeq	ERS224596
AN0096-C	HiSeq	ERS224341
AN0097-C	HiSeq	ERS224344
AN0098-C	HiSeq	ERS224359
AN0099-C	HiSeq	ERS224482
AN0100-C	HiSeq	ERS224498
AN0101-C	HiSeq	ERS224582
AN0101-Cx	HiSeq	ERS224582
AN0102-C	HiSeq	ERS224454
AN0103-C	HiSeq	ERS224496
AN0104-C	HiSeq	ERS224355
AN0105-C	HiSeq	ERS224374
AN0106-C	HiSeq	ERS224358
AN0107-C	HiSeq	ERS224401
AN0108-C	HiSeq	ERS224473
AN0109-C	HiSeq	ERS224424
AN0110-C	HiSeq	ERS224410
AN0111-C	HiSeq	ERS224608
AN0111-Cx	HiSeq	ERS224608
AN0112-C	HiSeq	ERS224568
AN0112-Cx	HiSeq	ERS224568
AN0113-C	HiSeq	ERS224497
AN0114-C	HiSeq	ERS224452
AN0115-C	HiSeq	ERS224507
AN0115-Cx	HiSeq	ERS224507
AN0116-C	HiSeq	ERS224380
AN0117-C	HiSeq	ERS224569
AN0117-Cx	HiSeq	ERS224569
AN0118-C	HiSeq	ERS224533
AN0118-Cx	HiSeq	ERS224533
AN0119-C	HiSeq	ERS224548
AN0119-Cx	HiSeq	ERS224548
AN0120-C	HiSeq	ERS224481
AN0121-C	HiSeq	ERS224542
AN0121-Cx	HiSeq	ERS224542
AN0122-C	HiSeq	ERS224590
AN0122-Cx	HiSeq	ERS224590
AN0123-C	HiSeq	ERS224835
AN0123-Cx	HiSeq	ERS224835
AN0124-C	HiSeq	ERS224438
AN0125-C	HiSeq	ERS224592
AN0125-Cx	HiSeq	ERS224592
AN0126-C	HiSeq	ERS224595
AN0126-Cx	HiSeq	ERS224595
AN0127-C	HiSeq	ERS224555
AN0127-Cx	HiSeq	ERS224555
AN0128-C	HiSeq	ERS224506
AN0128-Cx	HiSeq	ERS224506
AN0129-C	HiSeq	ERS224538
AN0129-Cx	HiSeq	ERS224538
AN0130-C	HiSeq	ERS224488
AN0131-C	HiSeq	ERS224501
AN0132-C	HiSeq	ERS224660
AN0132-Cx	HiSeq	ERS224660
AN0133-C	HiSeq	ERS224667
AN0133-Cx	HiSeq	ERS224667
AN0134-C	HiSeq	ERS224610
AN0134-Cx	HiSeq	ERS224610
AN0135-C	HiSeq	ERS224836
AN0135-Cx	HiSeq	ERS224836
AN0136-C	HiSeq	ERS224591
AN0136-Cx	HiSeq	ERS224591
AN0137-C	HiSeq	ERS224448
AN0138-C	HiSeq	ERS224437
AN0139-C	HiSeq	ERS224370
AN0140-C	HiSeq	ERS224338
AN0141-C	HiSeq	ERS224375
AN0142-C	HiSeq	ERS224339
AN0143-C	HiSeq	ERS224545
AN0143-Cx	HiSeq	ERS224545
AN0144-C	HiSeq	ERS224364
AN0145-C	HiSeq	ERS224385
AN0146-C	HiSeq	ERS224386
AN0147-C	HiSeq	ERS224350
AN0148-C	HiSeq	ERS224400
AN0149-C	HiSeq	ERS224539
AN0149-Cx	HiSeq	ERS224539
AN0150-C	HiSeq	ERS224415
AN0151-C	HiSeq	ERS224441
AN0152-C	HiSeq	ERS224346
AN0153-C	HiSeq	ERS224357
AN0154-C	HiSeq	ERS224384
AN0155-C	HiSeq	ERS224413
AN0156-C	HiSeq	ERS224337
AN0157-C	HiSeq	ERS224624
AN0157-Cx	HiSeq	ERS224624
AN0158-C	HiSeq	ERS224432
AN0159-C	HiSeq	ERS224550
AN0159-Cx	HiSeq	ERS224550
AN0160-C	HiSeq	ERS224615
AN0160-Cx	HiSeq	ERS224615
AN0161-C	HiSeq	ERS224597
AN0161-Cx	HiSeq	ERS224597
AN0162-C	HiSeq	ERS224527
AN0162-Cx	HiSeq	ERS224527
AN0163-C	HiSeq	ERS224603
AN0163-Cx	HiSeq	ERS224603
AN0164-C	HiSeq	ERS224520
AN0165-C	HiSeq	ERS224609
AN0165-Cx	HiSeq	ERS224609
AN0166-C	HiSeq	ERS224340
AN0167-C	HiSeq	ERS224446
AN0168-C	HiSeq	ERS224517
AN0169-C	HiSeq	ERS224422
AN0170-C	HiSeq	ERS224661
AN0170-Cx	HiSeq	ERS224661
AN0171-C	HiSeq	ERS224477
AN0172-C	HiSeq	ERS224402
AN0173-C	HiSeq	ERS224838
AN0173-Cx	HiSeq	ERS224838
AN0174-C	HiSeq	ERS224600
AN0174-Cx	HiSeq	ERS224600
AN0175-C	HiSeq	ERS224342
AN0176-C	HiSeq	ERS224510
AN0177-C	HiSeq	ERS224562
AN0178-C	HiSeq	ERS224407
AN0179-C	HiSeq	ERS224412
AN0180-C	HiSeq	ERS224371
AN0181-C	HiSeq	ERS224347
AN0182-C	HiSeq	ERS224391
AN0183-C	HiSeq	ERS224450
AN0184-C	HiSeq	ERS224536
AN0185-C	HiSeq	ERS224442
AN0186-C	HiSeq	ERS224629
AN0186-Cx	HiSeq	ERS224629
AN0187-C	HiSeq	ERS224586
AN0188-C	HiSeq	ERS224546
AN0189-C	HiSeq	ERS224464
AN0190-C	HiSeq	ERS224565
AN0191-C	HiSeq	ERS224522
AN0192-C	HiSeq	ERS224514
AN0193-C	HiSeq	ERS224641
AN0193-Cx	HiSeq	ERS224641
AN0194-C	HiSeq	ERS224577
AN0194-Cx	HiSeq	ERS224577
AN0195-C	HiSeq	ERS224837
AN0195-Cx	HiSeq	ERS224837
AN0196-C	HiSeq	ERS224585
AN0197-C	HiSeq	ERS224644
AN0197-Cx	HiSeq	ERS224644
AN0198-C	HiSeq	ERS224557
AN0199-C	HiSeq	ERS224599
AN0199-Cx	HiSeq	ERS224599
AN0200-C	HiSeq	ERS224544
AN0200-Cx	HiSeq	ERS224544
AN0201-C	HiSeq	ERS224503
AN0201-Cx	HiSeq	ERS224503
AN0202-C	HiSeq	ERS224578
AN0202-Cx	HiSeq	ERS224578
AN0203-C	HiSeq	ERS224646
AN0203-Cx	HiSeq	ERS224646
AN0204-C	HiSeq	ERS224489
AN0205-C	HiSeq	ERS224425
AN0206-C	HiSeq	ERS224479
AN0207-C	HiSeq	ERS224404
AN0208-C	HiSeq	ERS224529
AN0208-Cx	HiSeq	ERS224529
AN0209-C	HiSeq	ERS224447
AN0210-C	HiSeq	ERS224572
