derived_sample_id	seq_tech	ebi_sample_acc
AN0378-C	HiSeqX	ERS1033618
AN0347-C	HiSeqX	ERS1033619
AN0358-C	HiSeqX	ERS1033620
AN0334-C	HiSeqX	ERS1033621
AN0336-C	HiSeqX	ERS1033622
AN0375-C	HiSeqX	ERS1033623
AN0411-C	HiSeqX	ERS1033624
AN0364-C	HiSeqX	ERS1033625
AN0328-C	HiSeqX	ERS1033626
AN0360-C	HiSeqX	ERS1033627
AN0410-C	HiSeqX	ERS1033628
AN0366-C	HiSeqX	ERS1033629
AN0385-C	HiSeqX	ERS1033630
AN0348-C	HiSeqX	ERS1033631
AN0402-C	HiSeqX	ERS1033632
AN0325-C	HiSeqX	ERS1033633
AN0384-C	HiSeqX	ERS1033634
AN0414-C	HiSeqX	ERS1033635
AN0408-C	HiSeqX	ERS1033636
AN0367-C	HiSeqX	ERS1033637
AN0368-C	HiSeqX	ERS1033638
AN0337-C	HiSeqX	ERS1033639
AN0344-C	HiSeqX	ERS1033640
AN0326-C	HiSeqX	ERS1033641
AN0361-C	HiSeqX	ERS1033642
AN0329-C	HiSeqX	ERS1033643
AN0341-C	HiSeqX	ERS1033644
AN0349-C	HiSeqX	ERS1033645
AN0390-C	HiSeqX	ERS1033646
AN0401-C	HiSeqX	ERS1033647
AN0331-C	HiSeqX	ERS1033648
AN0338-C	HiSeqX	ERS1033649
AN0373-C	HiSeqX	ERS1033650
AN0379-C	HiSeqX	ERS1033651
AN0332-C	HiSeqX	ERS1033652
AN0346-C	HiSeqX	ERS1033653
AN0575-CW	HiSeqX	ERS1297238
AN0584-CW	HiSeqX	ERS1298025
AN0598-CW	HiSeqX	ERS1297537
AN0525-CW	HiSeqX	ERS1297213
AN0576-CW	HiSeqX	ERS1297855
AN0585-CW	HiSeqX	ERS1297243
AN0599-CW	HiSeqX	ERS1297250
AN0614-CW	HiSeqX	ERS1297541
AN0534-CW	HiSeqX	ERS1297521
AN0577-CW	HiSeqX	ERS1297239
AN0586-CW	HiSeqX	ERS1297534
AN0601-CW	HiSeqX	ERS1297251
AN0616-CW	HiSeqX	ERS1298047
AN0544-CW	HiSeqX	ERS1297853
AN0578-CW	HiSeqX	ERS1297532
AN0587-CW	HiSeqX	ERS1297244
AN0602-CW	HiSeqX	ERS1297538
AN0619-CW	HiSeqX	ERS1297260
AN0558-CW	HiSeqX	ERS1297527
AN0579-CW	HiSeqX	ERS1297240
AN0588-CW	HiSeqX	ERS1297681
AN0603-CW	HiSeqX	ERS1297252
AN0569-CW	HiSeqX	ERS1297235
AN0580-CW	HiSeqX	ERS1297680
AN0589-CW	HiSeqX	ERS1297245
AN0604-CW	HiSeqX	ERS1297683
AN0581-CW	HiSeqX	ERS1297241
AN0590-CW	HiSeqX	ERS1297535
AN0605-CW	HiSeqX	ERS1297253
AN0574-CW	HiSeqX	ERS1297531
AN0582-CW	HiSeqX	ERS1297533
AN0591-CW	HiSeqX	ERS1297246
AN0607-CW	HiSeqX	ERS1297254
AN0625-CW	HiSeqX	ERS1297263
AN0626-CW	HiSeqX	ERS1297544
AN0398-CW	HiSeqX	ERS1297264
AN0402-CW	HiSeqX	ERS1297265
AN0621-CW	HiSeqX	ERS1297261
AN0405-CW	HiSeqX	ERS1297545
AN0622-CW	HiSeqX	ERS1297543
AN0633-CW	HiSeqX	ERS1297269
AN0623-CW	HiSeqX	ERS1297262
AN0634-CW	HiSeqX	ERS1297547
AN0624-CW	HiSeqX	ERS1297858
AN0643-CW	HiSeqX	ERS1297274
AN0495-CW	HiSeqX	ERS1297198
AN0499-CW	HiSeqX	ERS1297512
AN0500-CW	HiSeqX	ERS1297200
AN0503-CW	HiSeqX	ERS1297513
AN0507-CW	HiSeqX	ERS1297514
AN0508-CW	HiSeqX	ERS1297204
AN0509-CW	HiSeqX	ERS1297671
AN0511-CW	HiSeqX	ERS1297515
AN0518-CW	HiSeqX	ERS1297517
AN0573-CW	HiSeqX	ERS1297237
