derived_sample_id	seq_tech	ebi_sample_acc
AG0147-C	HiSeq	ERS248741
AG0159-C	HiSeq	ERS248753
AG0160-C	HiSeq	ERS248754
AG0164-C	HiSeq	ERS248758
AG0177-C	HiSeq	ERS248771
AG0194-C	HiSeq	ERS248788
AG0219-C	HiSeq	ERS248813
AG0232-C	HiSeq	ERS248826
AG0233-C	HiSeq	ERS248827
AG0129-C	HiSeq	ERS248723
AG0153-C	HiSeq	ERS248747
AG0155-C	HiSeq	ERS248749
AG0163-C	HiSeq	ERS248757
AG0180-C	HiSeq	ERS248774
AG0182-C	HiSeq	ERS248776
AG0200-C	HiSeq	ERS248794
AG0209-C	HiSeq	ERS248803
AG0229-C	HiSeq	ERS248823
AG0230-C	HiSeq	ERS248824
AG0098-C	HiSeq	ERS248692
AG0104-C	HiSeq	ERS248698
AG0106-C	HiSeq	ERS248700
AG0120-C	HiSeq	ERS248714
AG0136-C	HiSeq	ERS248730
AG0141-C	HiSeq	ERS248735
AG0145-C	HiSeq	ERS248739
AG0148-C	HiSeq	ERS248742
AG0172-C	HiSeq	ERS248766
AG0179-C	HiSeq	ERS248773
AG0210-C	HiSeq	ERS248804
AG0223-C	HiSeq	ERS248817
AG0118-C	HiSeq	ERS248712
AG0119-C	HiSeq	ERS248713
AG0121-C	HiSeq	ERS248715
AG0133-C	HiSeq	ERS248727
AG0134-C	HiSeq	ERS248728
AG0138-C	HiSeq	ERS248732
AG0161-C	HiSeq	ERS248755
AG0227-C	HiSeq	ERS248821
AG0231-C	HiSeq	ERS248825
AG0102-C	HiSeq	ERS248696
AG0108-C	HiSeq	ERS248702
AG0123-C	HiSeq	ERS248717
AG0128-C	HiSeq	ERS248722
AG0137-C	HiSeq	ERS248731
AG0139-C	HiSeq	ERS248733
AG0143-C	HiSeq	ERS248737
AG0162-C	HiSeq	ERS248756
AG0170-C	HiSeq	ERS248764
AG0181-C	HiSeq	ERS248775
AG0085-C	HiSeq	ERS248679
AG0096-C	HiSeq	ERS248690
AG0105-C	HiSeq	ERS248699
AG0107-C	HiSeq	ERS248701
AG0126-C	HiSeq	ERS248720
AG0152-C	HiSeq	ERS248746
AG0183-C	HiSeq	ERS248777
AG0208-C	HiSeq	ERS248802
AG0214-C	HiSeq	ERS248808
AG0226-C	HiSeq	ERS248820
AG0101-C	HiSeq	ERS248695
AG0127-C	HiSeq	ERS248721
AG0130-C	HiSeq	ERS248724
AG0135-C	HiSeq	ERS248729
AG0144-C	HiSeq	ERS248738
AG0156-C	HiSeq	ERS248750
AG0206-C	HiSeq	ERS248800
AG0221-C	HiSeq	ERS248815
AG0234-C	HiSeq	ERS248828
AG0082-C	HiSeq	ERS248676
AG0097-C	HiSeq	ERS248691
AG0100-C	HiSeq	ERS248694
AG0109-C	HiSeq	ERS248703
AG0124-C	HiSeq	ERS248718
AG0140-C	HiSeq	ERS248734
AG0142-C	HiSeq	ERS248736
AG0146-C	HiSeq	ERS248740
AG0150-C	HiSeq	ERS248744
AG0169-C	HiSeq	ERS248763
AG0178-C	HiSeq	ERS248772
AG0195-C	HiSeq	ERS248789
AG0089-C	HiSeq	ERS248683
AG0111-C	HiSeq	ERS248705
AG0125-C	HiSeq	ERS248719
AG0197-C	HiSeq	ERS248791
AG0202-C	HiSeq	ERS248796
AG0203-C	HiSeq	ERS248797
AG0204-C	HiSeq	ERS248798
AG0225-C	HiSeq	ERS248819
AG0249-C	HiSeq	ERS248843
AG0263-C	HiSeq	ERS248857
