derived_sample_id	seq_tech	ebi_sample_acc
AQ0009-C	HiSeq	ERS156389
AQ0001-C	HiSeq	ERS156391
AQ0002-C	HiSeq	ERS156392
AQ0005-C	HiSeq	ERS156394
AQ0004-C	HiSeq	ERS156395
AQ0007-C	HiSeq	ERS156397
AQ0015-C	HiSeq	ERS156398
AQ0023-C	HiSeq	ERS156399
AQ0016-C	HiSeq	ERS156404
AQ0011-C	HiSeq	ERS156405
AQ0008-C	HiSeq	ERS156406
AQ0012-C	HiSeq	ERS156407
AQ0022-C	HiSeq	ERS156408
AQ0017-C	HiSeq	ERS156411
AQ0020-C	HiSeq	ERS156412
AQ0003-C	HiSeq	ERS156413
AQ0014-C	HiSeq	ERS156416
AQ0010-C	HiSeq	ERS156418
AQ0006-C	HiSeq	ERS156419
AQ0013-C	HiSeq	ERS156423
AQ0031-C	HiSeq	ERS387182
AQ0024-C	HiSeq	ERS387200
AQ0026-C	HiSeq	ERS387207
AQ0027-C	HiSeq	ERS387211
AQ0028-C	HiSeq	ERS387215
AQ0029-C	HiSeq	ERS387219
AQ0032-C	HiSeq	ERS387186
AQ0033-C	HiSeq	ERS387190
AQ0034-C	HiSeq	ERS387193
AQ0035-C	HiSeq	ERS387197
AQ0036-C	HiSeq	ERS387201
AQ0037-C	HiSeq	ERS387204
AQ0038-C	HiSeq	ERS387208
AQ0039-C	HiSeq	ERS387212
AQ0040-C	HiSeq	ERS387216
AQ0041-C	HiSeq	ERS387220
AQ0042-C	HiSeq	ERS387223
