derived_sample_id	seq_tech	ebi_sample_acc
AC0300-C	HiSeqX	ERS1103947
AC0301-C	HiSeqX	ERS1103948
AC0302-C	HiSeqX	ERS1103949
AC0303-C	HiSeqX	ERS1103950
AC0304-C	HiSeqX	ERS1103951
AC0305-C	HiSeqX	ERS1103952
AC0306-C	HiSeqX	ERS1103953
AC0307-C	HiSeqX	ERS1103954
AC0308-C	HiSeqX	ERS1103955
AC0309-C	HiSeqX	ERS1103956
AC0310-C	HiSeqX	ERS1103957
AC0311-C	HiSeqX	ERS1103958
AC0312-C	HiSeqX	ERS1103959
AC0313-C	HiSeqX	ERS1103960
AC0314-C	HiSeqX	ERS1103961
AC0315-C	HiSeqX	ERS1103962
AC0316-C	HiSeqX	ERS1103963
AC0317-C	HiSeqX	ERS1103964
AC0318-C	HiSeqX	ERS1103965
AC0319-C	HiSeqX	ERS1103966
AC0320-C	HiSeqX	ERS1103967
AC0321-C	HiSeqX	ERS1103968
AC0322-C	HiSeqX	ERS1103969
AC0323-C	HiSeqX	ERS1103970
AC0324-C	HiSeqX	ERS1103971
AC0325-C	HiSeqX	ERS1103972
AC0326-C	HiSeqX	ERS1103973
AC0327-C	HiSeqX	ERS1103974
AC0328-C	HiSeqX	ERS1103975
AC0329-C	HiSeqX	ERS1103977
AC0330-C	HiSeqX	ERS1103979
AC0331-C	HiSeqX	ERS1103981
AC0332-C	HiSeqX	ERS1103983
AC0333-C	HiSeqX	ERS1103984
AC0334-C	HiSeqX	ERS1103986
AC0335-C	HiSeqX	ERS1103988
AC0336-C	HiSeqX	ERS1103990
AC0337-C	HiSeqX	ERS1103991
AC0338-C	HiSeqX	ERS1103993
AC0339-C	HiSeqX	ERS1103995
AC0340-C	HiSeqX	ERS1103997
AC0341-C	HiSeqX	ERS1103998
AC0342-C	HiSeqX	ERS1104000
AC0343-C	HiSeqX	ERS1104002
AC0344-C	HiSeqX	ERS1104003
AC0345-C	HiSeqX	ERS1104005
AC0346-C	HiSeqX	ERS1104007
AC0347-C	HiSeqX	ERS1104009
AC0348-C	HiSeqX	ERS1104011
AC0349-C	HiSeqX	ERS1104013
AC0350-C	HiSeqX	ERS1104014
AC0351-C	HiSeqX	ERS1104016
AC0352-C	HiSeqX	ERS1104017
AC0353-C	HiSeqX	ERS1104019
AC0354-C	HiSeqX	ERS1104021
AC0355-C	HiSeqX	ERS1104023
AC0356-C	HiSeqX	ERS1104024
AC0357-C	HiSeqX	ERS1104027
AC0358-C	HiSeqX	ERS1104029
AC0359-C	HiSeqX	ERS1104031
AC0360-C	HiSeqX	ERS1104033
AC0361-C	HiSeqX	ERS1104035
AC0362-C	HiSeqX	ERS1104037
AC0363-C	HiSeqX	ERS1104038
AC0364-C	HiSeqX	ERS1104039
AC0365-C	HiSeqX	ERS1104040
AC0366-C	HiSeqX	ERS1104041
AC0367-C	HiSeqX	ERS1104042
AC0368-C	HiSeqX	ERS1104043
AC0369-C	HiSeqX	ERS1104044
AC0370-C	HiSeqX	ERS1104045
AC0371-C	HiSeqX	ERS1104046
AC0372-C	HiSeqX	ERS1104047
AC0373-C	HiSeqX	ERS1104048
AC0374-C	HiSeqX	ERS1104049
AC0375-C	HiSeqX	ERS1104050
AC0376-C	HiSeqX	ERS1104051
AC0377-C	HiSeqX	ERS1104052
AC0378-C	HiSeqX	ERS1104053
AC0379-C	HiSeqX	ERS1104054
AC0380-C	HiSeqX	ERS1104055
AC0381-C	HiSeqX	ERS1104056
AC0382-C	HiSeqX	ERS1104057
AC0383-C	HiSeqX	ERS1104058
AC0384-C	HiSeqX	ERS1104059
AC0385-C	HiSeqX	ERS1104060
AC0386-C	HiSeqX	ERS1104061
AC0387-C	HiSeqX	ERS1104062
AC0388-C	HiSeqX	ERS1104063
AC0389-C	HiSeqX	ERS1104064
AC0390-C	HiSeqX	ERS1104065
AC0391-C	HiSeqX	ERS1104066
AC0392-C	HiSeqX	ERS1104067
AC0393-C	HiSeqX	ERS1104068
AC0394-C	HiSeqX	ERS1104034
AC0395-C	HiSeqX	ERS1104036
AC0396-C	HiSeqX	ERS1103976
AC0397-C	HiSeqX	ERS1103978
AC0398-C	HiSeqX	ERS1103980
AC0399-C	HiSeqX	ERS1103982
AC0400-C	HiSeqX	ERS1103985
AC0401-C	HiSeqX	ERS1103987
AC0402-C	HiSeqX	ERS1103989
AC0403-C	HiSeqX	ERS1103992
AC0404-C	HiSeqX	ERS1103994
AC0405-C	HiSeqX	ERS1103996
AC0406-C	HiSeqX	ERS1103999
AC0407-C	HiSeqX	ERS1104001
AC0408-C	HiSeqX	ERS1104004
AC0409-C	HiSeqX	ERS1104006
AC0410-C	HiSeqX	ERS1104008
AC0411-C	HiSeqX	ERS1104010
AC0412-C	HiSeqX	ERS1104012
AC0413-C	HiSeqX	ERS1104015
AC0414-C	HiSeqX	ERS1104018
AC0415-C	HiSeqX	ERS1104020
AC0416-C	HiSeqX	ERS1104022
AC0417-C	HiSeqX	ERS1104025
AC0418-C	HiSeqX	ERS1104026
AC0419-C	HiSeqX	ERS1104028
AD0058-C	HiSeq	ERS157525
AD0059-CW	HiSeq	ERS240772
AD0061-C	HiSeq	ERS156796
AD0062-C	unsequenced	
AD0063-C	HiSeq	ERS046902
AD0064-C	HiSeq	ERS156804
AD0065-C	HiSeq	ERS046895
AD0066-C	HiSeq	ERS156817
AD0067-C	HiSeq	ERS156828
AD0068-C	HiSeq	ERS157518
