chrom,feature_name,type,start,stop,frac_accessible
2L,2L,contig,1,49364325,0.670
2R,2R,contig,1,61545105,0.675
3L,3L,contig,1,41963435,0.635
3R,3R,contig,1,53200684,0.639
X,X,contig,1,24393108,0.480
2L,2La,inversion,20528089,42165182,0.702
2R,2Rj,inversion,3262186,15750717,0.730
2R,2Rb,inversion,19444433,26313071,0.760
2R,2Rk,inversion,25146360,30717395,0.759
2R,2Rc,inversion,26780000,31450000,0.745
2R,2Ru,inversion,31480000,35500000,0.588
2R,2Rd,inversion,33575891,41360919,0.636
2L,CH2L,chromatin,1,2431617,0.225
2L,PEU2L,chromatin,2487770,5042389,0.576
2L,IH2L,chromatin,5078962,5788875,0.264
2R,CH2R,chromatin,58984778,61545105,0.368
3L,CH3L,chromatin,1,1815119,0.221
3L,PEU3L,chromatin,1896830,4235209,0.679
3L,IH3L,chromatin,4264713,5031692,0.211
3R,IH3R,chromatin,38988757,41860198,0.336
3R,CH3R,chromatin,52161877,53200684,0.191
X,CHX,chromatin,20009764,24393108,0.131
