start,stop,is_segregating,is_multiallelic
4266,490676,6714,241
490677,876140,5699,176
876141,1219552,6521,241
1219553,1474062,3812,117
1474063,1803598,7831,229
1803599,2082873,6450,184
2082874,2289666,3634,122
2289667,2493120,4191,86
2493121,2664907,5046,120
2664908,2810559,3759,92
2810560,2955918,3538,85
2955919,3111703,4315,75
3111704,3237116,3427,66
3237117,3391785,5175,111
3391786,3545044,6532,121
3545045,3674382,4976,122
3674383,3885840,9080,238
3885841,4024256,4902,133
4024257,4145158,3716,131
4145159,4319494,8436,229
4319495,4465489,6882,174
4465490,4611850,6308,142
4611851,5095103,17812,414
5095105,5283199,1706,89
5283200,5399866,1156,63
5399867,5543255,4441,180
5543258,5710294,8914,311
5710295,5830523,7683,223
5830524,6028517,10215,321
6028518,6184967,9417,325
6184968,6309660,6796,238
6309661,6432107,5520,198
6432108,6543055,8405,309
6543056,6674750,8565,372
6674751,6834211,14434,635
6834212,7084485,21435,804
7084487,7209518,6715,234
7209519,7346413,7057,231
7346414,7465366,3434,123
7465367,7575905,3682,115
7575906,7695136,8530,245
7695137,7826428,7921,283
7826430,8109345,22661,783
8109346,8255225,10158,338
8255227,8392159,6995,256
8392160,8523448,1470,89
8523449,8690566,8118,298
8690567,8840760,8311,321
8840761,8986722,9355,301
8986723,9107911,8907,352
9107913,9237917,6811,283
9237918,9358868,8763,361
9358869,9478476,9845,404
9478477,9626018,11867,437
9626019,9746637,7917,337
9746638,9885495,11302,413
9885496,10017025,10287,383
10017027,10147834,10519,397
10147835,10278062,9224,362
10278063,10410606,9303,363
10410607,10544870,11305,517
10544871,10665971,11332,589
10665972,10809011,14932,782
10809012,10964806,15986,777
10964807,11107298,14022,717
11107299,11229285,13941,749
11229286,11340734,12048,698
11340735,11460318,9205,470
11460320,11587222,11271,558
11587223,11713514,13523,667
11713515,11851119,16581,839
11851120,11995558,16882,825
11995559,12116266,11109,488
12116267,12240463,10230,386
12240464,12372721,11808,550
12372722,12517078,12154,567
12517079,12666458,14762,755
12666459,12790732,12985,647
12790733,12987975,19874,941
12987976,13127393,11965,595
13127394,13257102,10640,511
13257103,13396383,10392,419
13396384,13521016,4978,220
13521018,13658557,10932,510
13658558,13784311,10436,498
13784312,13916314,11039,485
13916315,14045584,10784,484
14045585,14175296,13589,710
14175297,14310611,12979,718
14310612,14452889,14476,680
14452890,14594992,14641,753
14594993,14707537,11090,520
14707538,14827627,10441,501
14827628,14949910,11842,564
14949911,15075456,12102,567
15075457,15214371,12536,562
15214372,15358552,15893,759
15358553,15490751,13632,686
15490752,15636816,17007,921
15636817,15767844,15762,916
15767845,15900704,14144,819
15900705,16021060,12911,699
16021061,16145161,8008,349
16145162,16276764,13208,721
16276765,16411622,14785,861
16411623,16537936,14711,929
16537937,16656267,13070,714
16656268,16781065,12868,670
16781066,16927888,14129,667
16927889,17060076,11348,557
17060077,17194865,12620,584
17194867,17341067,16676,827
17341068,17490831,16238,909
17490832,17627817,15623,988
17627818,17773716,16126,932
17773717,17942475,16986,865
17942476,18089419,13467,747
18089422,18238930,15828,877
18238931,18392768,15418,852
18392769,18565855,16594,928
18565857,18694325,13651,855
18694326,18835403,15155,973
18835404,18964579,14182,945
18964580,19103420,17968,1248
19103421,19229945,11931,751
19229946,19359452,17723,1242
19359453,19481761,15080,1050
19481762,19608785,16458,1080
19608786,19753497,18033,1218
19753498,19887917,18752,1248
19887919,20061395,21372,1329
20061396,20227374,20389,1133
20227375,20373486,17558,1145
20373487,20487822,12703,789
20487824,20633623,12847,771
20633624,20771812,14242,891
20771813,20908357,14307,1037
20908358,21038327,15061,968
21038328,21181333,18200,1013
21181334,21299002,12258,751
21299003,21445929,20016,1395
21445930,21566497,17368,1246
21566498,21690831,15162,934
21690832,21816465,16244,1114
21816466,21963821,21722,1465
21963823,22087494,14186,1007
22087495,22221048,17639,1048
22221049,22345284,14322,739
22345285,22475435,13668,654
22475436,22606578,8922,333
22606579,22739513,8315,241
22739514,22885337,14729,750
22885339,23009051,15459,897
23009052,23135767,13877,758
23135768,23264747,12694,555
23264748,23387563,13740,750
23387564,23514488,12694,704
23514489,23643656,13287,694
23643657,23770520,13218,667
23770521,23888367,10356,454
23888368,24017707,12009,566
24017708,24143103,11832,572
24143104,24282619,15635,840
24282620,24419581,15436,808
24419582,24573901,16614,813
24573902,24724628,16598,865
24724629,24849793,15357,836
24849794,24979154,13435,702
24979155,25101550,14732,902
25101551,25241199,17049,1297
25241200,25367757,14342,982
25367758,25518642,15879,776
25518643,25648023,11994,505
25648024,25768439,14432,778
25768440,25902050,17095,1082
25902051,26037693,15861,957
26037694,26161711,11319,647
26161712,26289888,16948,1001
26289889,26412713,16248,1015
26412714,26543317,16464,927
26543318,26684994,13317,642
26684995,26816597,13702,635
26816598,26947658,12778,619
26947659,27064944,10561,471
27064945,27195345,13278,635
27195346,27318453,13884,804
27318454,27436417,11476,604
27436419,27574480,13456,588
27574481,27728003,18117,1077
27728004,27854741,16323,921
27854742,27968079,12746,742
27968080,28094344,16856,983
28094345,28222249,14803,836
28222250,28358367,12115,649
28358368,28497071,15366,859
28497072,28642046,13721,574
28642047,28774997,15189,823
28774998,28917074,16198,831
28917075,29054104,14481,763
29054105,29185816,15951,1014
29185817,29429887,27192,1593
29429888,29558907,13960,793
29558908,29702037,15038,847
29702038,29834394,14017,784
29834395,29954361,13311,723
29954362,30080263,2285,106
30080264,30198443,6796,392
30198444,30321279,13733,769
30321280,30462343,10905,545
30462344,30598054,13310,666
30598055,30742309,17809,969
30742310,30898261,18398,949
30898262,31046509,15437,664
31046512,31182385,14342,784
31182386,31298543,12472,652
31298544,31435643,15975,929
31435644,31560042,13419,832
31560043,31706118,14087,799
31706119,31840672,12529,645
31840673,31972194,13514,669
31972195,32103306,15640,847
32103307,32241276,14745,822
32241277,32373189,12657,602
32373190,32506653,13277,703
32506658,32650576,15678,874
32650577,32788134,14561,825
32788135,32911159,14248,883
32911160,33044834,15094,882
33044835,33182073,16070,872
33182074,33301715,12764,717
33301716,33445266,16235,934
33445267,33590434,17665,1110
33590435,33717791,15960,936
33717792,33837762,12425,669
33837763,33963175,12204,610
33963176,34084552,13404,704
34084553,34206332,10943,559
34206333,34322817,9779,412
34322818,34446138,13582,713
34446139,34573155,14799,782
34573156,34695880,13353,695
34695881,34812008,10375,448
34812009,34933565,13288,644
34933568,35062150,17305,1031
35062151,35179314,15954,1011
35179315,35306111,16602,1020
35306113,35433072,17502,1115
35433073,35551293,15909,915
35551294,35672586,13686,696
35672587,35799065,14661,774
35799066,35923902,16442,1003
35923904,36045035,15770,942
36045036,36171583,16272,944
36171584,36312988,18090,1019
36312989,36446974,16048,872
36446975,36665873,24353,1381
36665874,36800834,15821,827
36800835,36937352,16381,969
36937353,37064623,12650,621
37064625,37190332,10264,447
37190333,37312776,16444,1090
37312777,37440762,4351,278
37440763,37562829,14737,914
37562830,37681007,13271,731
37681008,37811945,13566,726
37811949,37933753,13383,712
37933754,38059005,14011,713
38059006,38180164,12305,614
38180165,38307833,13129,629
38307834,38449522,18277,1029
38449523,38570458,13665,744
38570459,38698419,13719,700
38698420,38835970,16086,851
38835971,38961106,15654,930
38961107,39086214,16778,1039
39086215,39226116,14451,887
39226117,39370847,15767,772
39370848,39491395,15220,904
39491396,39637484,16173,934
39637485,39773293,18271,1119
39773294,39896794,15234,819
39896795,40030667,15050,844
40030668,40159080,10455,489
40159081,40307352,13414,620
40307353,40441504,14117,839
40441505,40572575,13038,691
40572577,40704401,14820,760
40704402,40836411,14941,833
40836412,40985448,18159,1059
40985449,41115599,12738,747
41115600,41255496,17400,1089
41255497,41398472,18429,1166
41398473,41516650,16187,1066
41516651,41630456,14492,971
41630458,41748286,15364,1108
